VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
BADKI,771,0,0,2,0,4
BIRAT,617,0,0,19,0,8
BUMRAMADICHAUR,214,0,0,0,0,0
CHANDAN NATH,1806,13,2,2,0,16
CHHUMCHAUR,411,0,0,0,0,2
DEPALGAUN,496,0,0,0,0,2
DHAPA,671,0,0,0,0,4
DILLICHAUR,870,0,0,0,0,7
GARJYANGKOT,767,0,0,0,0,8
GHODE MAHADEV,370,0,0,0,0,1
GUTHICHAUR,566,1,0,0,2,6
HANKU,466,1,0,0,0,0
KALIKAKHETU,427,1,0,1,1,6
KANAKASUNDARI,485,0,0,0,0,1
KARTIK SWAMI,450,0,0,0,0,4
KUDARI,855,0,0,3,0,4
LAMRA,549,0,0,2,0,4
RARALIHI,480,0,0,3,0,3
MAHABAIPATHARKHOLA,496,0,0,0,0,4
MAHAT,795,4,1,0,0,7
MALIKABOTA,265,0,0,0,0,1
MALIKATHANTA,527,0,0,0,0,4
NARAKOT,583,0,0,0,1,3
PANDAWAGUFA,632,0,0,0,0,5
PATARASI,617,0,0,0,0,8
PATMARA,616,0,0,0,0,6
SANIGAUN,728,0,0,0,0,6
TALIUM,886,1,0,0,0,9
TAMTI,745,0,0,0,0,5
TATOPANI,928,1,0,0,0,3
TOTAL,19089,22,3,32,4,141
