VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
BADKI,103,3,0,429,238,4
BIRAT,14,0,0,342,281,7
BUMRAMADICHAUR,189,1,0,8,16,0
CHANDAN NATH,1670,18,0,32,104,15
CHHUMCHAUR,2,0,0,327,81,3
DEPALGAUN,3,0,0,301,194,0
DHAPA,6,1,0,454,213,1
DILLICHAUR,325,0,0,481,65,6
GARJYANGKOT,16,4,0,462,291,2
GHODE MAHADEV,188,2,0,144,36,1
GUTHICHAUR,3,0,0,441,124,7
HANKU,0,0,0,262,205,0
KALIKAKHETU,1,1,0,186,243,5
KANAKASUNDARI,82,0,0,198,206,0
KARTIK SWAMI,401,7,0,20,19,7
KUDARI,2,3,0,431,422,4
LAMRA,63,3,0,370,115,4
RARALIHI,430,3,0,2,49,2
MAHABAIPATHARKHOLA,2,4,0,245,246,3
MAHAT,750,4,0,34,11,8
MALIKABOTA,256,0,0,0,10,0
MALIKATHANTA,96,0,0,356,77,2
NARAKOT,141,1,0,158,284,3
PANDAWAGUFA,1,0,1,464,166,5
PATARASI,205,0,0,236,177,7
PATMARA,519,0,0,80,18,5
SANIGAUN,1,0,0,596,132,5
TALIUM,70,4,3,534,275,10
TAMTI,117,2,0,399,227,5
TATOPANI,0,1,0,556,374,1
TOTAL,5656,62,4,8548,4899,122
