VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
BADKI,138,428,207,4
BIRAT,366,89,182,7
BUMRAMADICHAUR,27,21,166,0
CHANDAN NATH,431,687,706,15
CHHUMCHAUR,137,46,227,3
DEPALGAUN,211,17,270,0
DHAPA,353,296,24,2
DILLICHAUR,167,310,394,6
GARJYANGKOT,383,206,184,2
GHODE MAHADEV,10,360,0,1
GUTHICHAUR,105,3,460,7
HANKU,149,123,195,0
KALIKAKHETU,276,45,109,6
KANAKASUNDARI,171,97,218,0
KARTIK SWAMI,116,63,268,7
KUDARI,281,367,210,4
LAMRA,12,398,141,4
RARALIHI,40,435,9,2
MAHABAIPATHARKHOLA,204,240,53,3
MAHAT,124,410,265,8
MALIKABOTA,87,25,154,0
MALIKATHANTA,29,270,230,2
NARAKOT,234,186,164,3
PANDAWAGUFA,307,105,219,6
PATARASI,82,323,212,8
PATMARA,82,182,353,5
SANIGAUN,457,126,146,5
TALIUM,71,203,613,9
TAMTI,330,226,189,5
TATOPANI,537,170,224,1
TOTAL,5917,6457,6792,125
