VDC/MUNICIPALITY,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO
TOTAL,142480,775709,378417,397292,5.444336047164514,95.24908631434815
BALIYA,8573,41461,19491,21970,4.836230024495509,88.71643149749659
BASAUTI,1052,6347,3057,3290,6.033269961977187,92.9179331306991
BELADEVIPUR,1912,11400,5428,5972,5.96234309623431,90.89082384460816
BHAJANI,2507,14917,7507,7410,5.950139609094535,101.30904183535763
BONIYA,2457,13899,6560,7339,5.656898656898657,89.3854748603352
CHUHA,3647,19891,9247,10644,5.454071839868385,86.87523487410748
CHAUMALA,5293,27586,12729,14857,5.211789155488381,85.67678535370533
DHANSINGHAPUR,1540,8750,4142,4608,5.681818181818182,89.88715277777779
DARAKH,3153,17623,8693,8930,5.589280050745322,97.34602463605823
DHANGADHI MUNICIPALITY,21030,101970,51439,50531,4.848787446504993,101.79691674417684
DODODHARA,3588,19827,9438,10389,5.525919732441472,90.84608720762346
DURGAULI,2626,13683,6340,7343,5.210586443259711,86.3407326705706
GADARIYA,1657,11104,5481,5623,6.7012673506336755,97.47465765605548
GETA,3720,19329,9494,9835,5.195967741935484,96.532791052364
GODAWARI,2906,15572,7052,8520,5.358568479008947,82.7699530516432
HASULIYA,2385,14129,6872,7257,5.924109014675053,94.69477745624914
JANAKINAGAR,992,5905,2959,2946,5.952620967741935,100.44127630685675
JOSHIPUR,3935,22560,11274,11286,5.733163913595934,99.8936735778841
KHAILAD,2043,11985,5817,6168,5.866372980910426,94.30933852140078
KHAIRALA,796,4563,2283,2280,5.732412060301508,100.13157894736841
KOTA TULSIPUR,2115,12856,6215,6641,6.078486997635934,93.58530341815991
LALBOJHI,1818,11247,5643,5604,6.186468646864687,100.69593147751605
MALAKHETI,4803,23814,11300,12514,4.958151155527795,90.2988652708966
MASURIYA,3828,22017,10677,11340,5.751567398119122,94.15343915343915
MOHANYAL,771,4681,2404,2277,6.0713359273670555,105.57751427316644
MUNUWA,1990,11556,5600,5956,5.807035175879397,94.02283411685694
NARAYANPUR,2186,11207,5210,5997,5.126715462031107,86.87677171919293
NIGALI,1030,6027,2920,3107,5.851456310679612,93.98133247505632
PAHALMANPUR,2587,15055,7371,7684,5.819482025512176,95.9266007287871
PANDAUN,583,3404,1774,1630,5.838765008576329,108.83435582822085
PATHARIYA,3443,17396,8057,9339,5.052570432762126,86.27262019488168
PAWERA,980,5835,2813,3022,5.954081632653061,93.084050297816
PHULWARI,3844,20508,9681,10827,5.335067637877211,89.41535051260738
PRATAPAPUR,2537,14073,6670,7403,5.547102877414269,90.09860867215993
RAMSIKHAR JHALA,3156,18016,8641,9375,5.7084917617237005,92.17066666666666
RATANPUR,1187,6979,3509,3470,5.879528222409435,101.12391930835736
SADEPANI,4278,24892,12147,12745,5.818606825619448,95.30796390741467
SAHAJPUR,1536,8334,4126,4208,5.42578125,98.05133079847909
SREEPUR,3310,17978,8408,9570,5.431419939577039,87.85788923719959
SUGARKHAL,2615,13968,6736,7232,5.341491395793499,93.14159292035397
THAPAPUR,2349,13696,6749,6947,5.83056619838229,97.14984885562113
TIKAPUR MUNICIPALITY,11630,56127,26893,29234,4.826053310404127,91.99220086200998
UDASIPUR,1492,9304,4474,4830,6.2359249329758715,92.62939958592132
URMA,2533,15188,7302,7886,5.996052112120016,92.59447121481105
