VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
BALIYA,7993,433,16,131
BASAUTI,1048,2,1,1
BELADEVIPUR,1899,3,0,10
BHAJANI,2461,37,0,9
BONIYA,2374,6,4,73
CHUHA,3597,32,3,15
CHAUMALA,5102,139,4,48
DHANSINGHAPUR,1537,0,0,3
DARAKH,2959,169,4,21
DHANGADHI MUNICIPALITY,15978,4652,256,144
DODODHARA,3363,111,4,110
DURGAULI,2608,8,1,9
GADARIYA,1646,6,3,2
GETA,3317,325,43,35
GODAWARI,2833,30,25,18
HASULIYA,2365,9,1,10
JANAKINAGAR,987,0,4,1
JOSHIPUR,3879,50,3,3
KHAILAD,2022,13,3,5
KHAIRALA,778,3,3,12
KOTA TULSIPUR,2103,7,0,5
LALBOJHI,1782,9,0,27
MALAKHETI,4338,422,9,34
MASURIYA,3689,116,4,19
MOHANYAL,756,6,4,5
MUNUWA,1977,8,1,4
NARAYANPUR,2136,41,2,7
NIGALI,1013,12,2,3
PAHALMANPUR,2471,103,3,10
PANDAUN,562,3,2,16
PATHARIYA,3393,5,1,44
PAWERA,966,10,0,4
PHULWARI,3747,61,0,36
PRATAPAPUR,2500,23,5,9
RAMSIKHAR JHALA,3115,7,0,34
RATANPUR,1181,1,0,5
SADEPANI,4171,79,0,28
SAHAJPUR,1443,64,6,23
SREEPUR,3223,32,1,54
SUGARKHAL,2577,18,6,14
THAPAPUR,2337,5,1,6
TIKAPUR MUNICIPALITY,10709,788,36,97
UDASIPUR,1480,7,1,4
URMA,2520,6,0,7
TOTAL,132935,7861,462,1155
