VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
BADALKOT,1,13,1,214,359,1
CHHAPRE,0,1,0,285,312,3
CHILKHAYA,62,0,0,284,399,4
DAHAFATGAUN,51,11,2,287,493,5
DHOLAGOHE,4,4,2,479,617,6
GELA,2,0,0,197,506,1
JUBITHA,1,0,0,293,110,3
KHEEN,1,0,0,136,469,1
KOTBADA,1,4,0,506,168,7
KUMALGAUN,1,48,0,454,114,4
LALU,6,7,1,598,367,5
MALKOT,0,1,0,473,205,3
MANMA,740,13,2,255,661,25
MARTA,1,0,0,292,970,2
MEHAL MUDI,625,13,0,20,157,1
MUGRAHA,0,1,0,374,116,6
MUMRAKOT,304,3,0,54,184,3
NANIKOT,7,101,0,495,350,20
ODANAKU,1,18,0,60,553,6
PAKHA,3,2,0,216,470,0
PHOI MAHADEV,4,0,0,196,414,3
PHUKOT,0,3,0,277,616,1
RAKU,22,71,1,239,408,0
RAMANAKOT,0,1,0,319,302,3
RANCHULI,0,1,0,225,190,6
RUPSA,2,1,0,452,157,0
SIPKHANA,547,2,0,30,293,5
SIUNA,276,7,0,116,504,8
SUKATAYA,8,2,0,313,562,2
THIRPU,4,0,0,406,288,4
TOTAL,2674,328,9,8545,11314,138
