VDC/MUNICIPALITY,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO
TOTAL,82152,451248,216042,235206,5.492842535787321,91.85224866712583
BAISI BICHAWA,2405,14301,6842,7459,5.946361746361746,91.72811368816195
BELDANDI,3022,17570,8236,9334,5.814030443414957,88.23655453181915
CHANDANI,3660,19550,9134,10416,5.341530054644808,87.69201228878649
DAIJEE,5091,27481,12985,14496,5.397957179336084,89.5764348785872
DEKHATBHULI,3285,18578,9056,9522,5.655403348554033,95.10607015332914
DODHARA,3732,19703,8996,10707,5.279474812433012,84.01980013075558
JHALARI,4782,24347,11407,12940,5.0913843580092015,88.15301391035548
KALIKA,2760,15401,7262,8139,5.580072463768116,89.22472048163165
KRISHNAPUR,6723,36706,17552,19154,5.459764985869404,91.63621175733529
LAXMIPUR,2175,13727,6461,7266,6.311264367816092,88.92100192678227
BHIMDATTA MUNICIPALITY,20684,104599,51087,53512,5.057000580158577,95.46830617431604
PARASAN,2651,14427,6642,7785,5.442097321765371,85.31791907514452
PIPALADI,3243,17679,8197,9482,5.451433857539316,86.44800674963088
RAIKAWAR BICHAWA,2784,16821,7988,8833,6.042025862068965,90.43360126797238
RAMPUR BILASIPUR,2928,18430,8773,9657,6.294398907103825,90.84601843222532
RAUTELI BICHAWA,738,4379,2004,2375,5.93360433604336,84.37894736842105
SANKARPUR,1065,7251,3549,3702,6.808450704225352,95.86709886547811
SREEPUR,3554,21387,10223,11164,6.017726505346089,91.57112146184163
SUDA,4128,21998,10507,11491,5.328972868217054,91.43677660778
TRIBHUWANBASTI,2724,14168,6482,7686,5.201174743024963,84.3351548269581
