VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
BAISI BICHAWA,1587,754,2,51,3,8
BELDANDI,945,1828,10,203,16,20
CHANDANI,2155,1362,26,14,84,19
DAIJEE,3973,982,10,46,64,16
DEKHATBHULI,2684,557,1,22,7,14
DODHARA,1613,2002,13,70,5,29
JHALARI,3829,816,10,32,87,8
KALIKA,1787,930,2,6,3,32
KRISHNAPUR,5709,938,17,11,23,25
LAXMIPUR,1974,183,4,1,8,5
BHIMDATTA MUNICIPALITY,17737,2326,59,115,226,221
PARASAN,1539,1077,3,9,3,20
PIPALADI,3012,175,6,10,20,20
RAIKAWAR BICHAWA,2144,537,7,24,50,22
RAMPUR BILASIPUR,1772,1009,8,117,3,19
RAUTELI BICHAWA,383,290,0,60,0,5
SANKARPUR,602,440,3,5,0,15
SREEPUR,2972,508,8,5,1,60
SUDA,3551,471,4,7,81,14
TRIBHUWANBASTI,1792,897,1,2,5,27
TOTAL,61760,18082,194,810,689,599
