VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
BAISI BICHAWA,2321,42,29,13
BELDANDI,2997,15,0,10
CHANDANI,3556,53,6,45
DAIJEE,5010,32,2,47
DEKHATBHULI,3271,9,2,3
DODHARA,3681,25,3,23
JHALARI,4602,142,7,31
KALIKA,2654,86,1,19
KRISHNAPUR,6606,91,4,22
LAXMIPUR,2141,14,2,18
BHIMDATTA MUNICIPALITY,17338,2647,218,481
PARASAN,2616,18,1,16
PIPALADI,3153,50,2,38
RAIKAWAR BICHAWA,2723,14,1,46
RAMPUR BILASIPUR,2902,13,1,12
RAUTELI BICHAWA,736,0,0,2
SANKARPUR,1053,8,1,3
SREEPUR,3392,136,13,13
SUDA,3903,150,15,60
TRIBHUWANBASTI,2645,49,16,14
TOTAL,77300,3594,324,916
