VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
BAISI BICHAWA,1454,425,518,8
BELDANDI,1453,781,768,20
CHANDANI,1058,777,1806,19
DAIJEE,3401,1051,623,16
DEKHATBHULI,2150,510,611,14
DODHARA,926,939,1838,29
JHALARI,2674,1385,715,8
KALIKA,1021,773,936,30
KRISHNAPUR,3317,1733,1650,23
LAXMIPUR,219,1540,411,5
BHIMDATTA MUNICIPALITY,6697,12129,1640,218
PARASAN,1664,477,490,20
PIPALADI,1933,825,466,19
RAIKAWAR BICHAWA,1918,442,402,22
RAMPUR BILASIPUR,1729,468,712,19
RAUTELI BICHAWA,580,26,127,5
SANKARPUR,784,96,170,15
SREEPUR,1131,1188,1175,60
SUDA,1754,1713,645,16
TRIBHUWANBASTI,899,991,807,27
TOTAL,36762,28269,16510,593
