VDC/MUNICIPALITY,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO
TOTAL,91321,571936,285599,286337,6.262918715300971,99.74226174053649
ABHIRAO,792,6908,3560,3348,8.722222222222221,106.3321385902031
AJIGARA,677,5182,2631,2551,7.654357459379616,103.1360250882007
BAHADURGANJ,1732,12882,6680,6202,7.437644341801386,107.70719122863592
BALARAMWAPUR,723,4771,2466,2305,6.598893499308437,106.98481561822126
BALUHAWA,760,5356,2708,2648,7.0473684210526315,102.26586102719033
BANGANGA,2872,13080,6005,7075,4.554317548746518,84.87632508833923
BARAIPUR,488,3371,1748,1623,6.907786885245901,107.70178681454097
BARKULPUR,1765,9330,4437,4893,5.286118980169972,90.68056407112202
BASANTAPUR,458,3248,1639,1609,7.091703056768559,101.86451211932877
BASKHORE,1362,9818,4921,4897,7.208516886930984,100.49009597712886
BAIDAULI,753,5533,2790,2743,7.347941567065073,101.71345242435291
BHAGWANPUR,785,5889,3126,2763,7.501910828025478,113.13789359391966
BHALWARI,759,4878,2516,2362,6.426877470355731,106.51989839119392
BIJUWA,807,5863,2888,2975,7.265179677819083,97.07563025210084
BIRPUR,2075,12313,6312,6001,5.933975903614458,105.18246958840194
BISHUNPUR,752,5057,2617,2440,6.724734042553192,107.25409836065573
BITHUWA,595,4648,2412,2236,7.811764705882353,107.871198568873
BUDDHI,1108,5697,2703,2994,5.141696750902527,90.28056112224448
CHANAI,1951,11658,5847,5811,5.975397232188621,100.61951471347446
DHANKAULI,1306,9026,4611,4415,6.911179173047473,104.43941109852774
DHARMPANIYA,667,4879,2465,2414,7.314842578710644,102.11267605633803
DOHANI,938,6721,3420,3301,7.165245202558635,103.60496819145712
DUBIYA,971,4936,2281,2655,5.083419155509784,85.91337099811676
DUMARA,716,5561,2831,2730,7.766759776536313,103.69963369963371
FULIKA,920,6762,3394,3368,7.35,100.77197149643706
GAJEHADA,2960,13479,6277,7202,4.553716216216216,87.15634545959455
GANESHPUR,854,6368,3289,3079,7.456674473067916,106.82039623254302
GAURI,600,4339,2110,2229,7.2316666666666665,94.66128308658591
GOTIHAWA,683,4733,2411,2322,6.929721815519766,103.83290267011198
GUGAULI,1614,10905,5547,5358,6.756505576208179,103.52743561030235
HARNAMPUR,688,4827,2424,2403,7.015988372093023,100.87390761548065
HARDAUNA,676,4841,2517,2324,7.161242603550296,108.30464716006884
HARIHARPUR,1093,6774,3371,3403,6.197621225983531,99.05965324713489
HATHAUSA,1773,9079,4283,4796,5.1206993795826286,89.30358632193494
HATHIHAWA,1097,8656,4568,4088,7.890610756608933,111.74168297455968
JAHADI,851,5968,2878,3090,7.012925969447709,93.13915857605178
JAWABHARI,443,3392,1722,1670,7.656884875846501,103.11377245508982
JAYANAGAR,1658,7743,3672,4071,4.670084439083233,90.19896831245394
KAJARHAWA,662,4638,2344,2294,7.006042296072508,102.17959895379249
KAPILVASTU MUNICIPALITY,5130,30428,15204,15224,5.931384015594542,99.86862848134524
KHURHURIYA,1362,8715,4476,4239,6.398678414096916,105.59094125973107
KOPAWA,2142,10530,4889,5641,4.915966386554622,86.66903031377416
KRISHNANAGAR,1584,11575,6037,5538,7.307449494949495,109.01047309498013
KUSHHAWA,686,4972,2524,2448,7.247813411078718,103.10457516339868
LAWANI,1055,7092,3538,3554,6.722274881516587,99.54980303882948
LALPUR,582,3930,2027,1903,6.752577319587629,106.51602732527587
MAHARAJGANJ,2424,16306,8336,7970,6.726897689768977,104.5922208281054
MAHENDRAKOT,1548,7479,3486,3993,4.8313953488372094,87.30277986476334
MAHUWA,829,5549,2783,2766,6.693606755126659,100.61460592913956
BHALWAD,1279,5732,2561,3171,4.481626270523846,80.76316619362977
MANPUR,562,3934,2036,1898,7,107.27081138040042
BHILMI,653,5007,2516,2491,7.667687595712098,101.00361300682457
MOTIPUR,3307,14460,6667,7793,4.372543090414273,85.55113563454381
