VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
ABHIRAO,566,186,0,3,0,37
AJIGARA,371,286,0,0,1,19
BAHADURGANJ,1012,674,5,9,0,32
BALARAMWAPUR,265,453,0,3,1,1
BALUHAWA,461,292,0,1,0,6
BANGANGA,2537,310,4,1,11,9
BARAIPUR,160,325,0,1,0,2
BARKULPUR,1548,174,3,4,35,1
BASANTAPUR,265,181,0,3,0,9
BASKHORE,557,653,121,3,1,27
BAIDAULI,452,274,0,1,16,10
BHAGWANPUR,170,593,6,0,0,16
BHALWARI,287,461,4,4,2,1
BIJUWA,308,485,1,9,0,4
BIRPUR,1445,615,2,3,6,4
BISHUNPUR,281,442,0,4,18,7
BITHUWA,180,371,0,10,0,34
BUDDHI,976,121,5,2,3,1
CHANAI,1413,513,3,5,11,6
DHANKAULI,594,649,2,15,34,12
DHARMPANIYA,292,371,1,1,0,2
DOHANI,606,311,7,0,0,14
DUBIYA,837,124,0,1,3,6
DUMARA,530,167,1,3,2,13
FULIKA,405,510,0,1,3,1
GAJEHADA,2696,209,10,2,3,40
GANESHPUR,387,450,1,7,0,9
GAURI,323,271,0,3,0,3
GOTIHAWA,362,297,1,18,0,5
GUGAULI,575,895,3,15,101,25
HARNAMPUR,361,316,3,4,0,4
HARDAUNA,289,350,0,1,34,2
HARIHARPUR,696,394,0,0,0,3
HATHAUSA,1353,386,1,3,30,0
HATHIHAWA,462,592,12,11,2,18
JAHADI,462,319,0,0,65,5
JAWABHARI,243,196,1,2,0,1
JAYANAGAR,1411,231,0,0,3,13
KAJARHAWA,278,373,1,2,4,4
KAPILVASTU MUNICIPALITY,3720,1326,11,9,13,51
KHURHURIYA,688,664,0,2,2,6
KOPAWA,1794,340,4,2,0,2
KRISHNANAGAR,1345,194,6,3,5,31
KUSHHAWA,330,352,0,4,0,0
LAWANI,531,490,3,2,2,27
LALPUR,264,306,1,3,7,1
MAHARAJGANJ,1269,1026,7,21,87,14
MAHENDRAKOT,1358,179,1,1,4,5
MAHUWA,307,509,0,2,5,6
BHALWAD,1128,128,2,0,8,13
MANPUR,141,413,0,4,3,1
BHILMI,308,329,0,8,0,8
MOTIPUR,2958,321,4,7,10,7
NANDANAGAR,265,647,4,0,27,17
NIGLIHAWA,1591,305,7,3,19,16
PAKADI,751,327,0,8,7,9
PARSOHIYA,343,207,1,1,0,5
PATARIYA,753,497,1,0,15,11
PATNA,1264,338,0,8,3,19
PATHARDAIYA,1002,824,1,6,2,5
PIPARA,535,179,0,7,0,1
PURUSHOTTAMPUR,259,154,1,10,0,6
RAJPUR,503,169,1,5,0,3
RAMNAGAR,383,243,0,5,1,5
RANGAPUR,382,348,2,1,0,2
SAURAHA,251,306,1,1,0,9
SHIVANAGAR,379,341,0,0,1,14
SHIVAGADHI,845,206,2,26,65,7
SHIVAPUR,2350,785,3,65,3,14
SIHOKHORE,339,416,0,0,40,9
SIRSIHAWA,277,321,1,1,0,3
SISAWA,382,556,2,7,5,1
SOMDIHA,402,419,2,3,0,26
THUNHIYA,557,511,1,4,0,3
TILAURAKOT,839,458,0,6,9,4
TITIRKHI,394,253,0,2,0,5
UDAYAPUR,331,268,2,3,0,2
VIDHYANAGAR,228,426,0,19,0,12
TOTAL,58162,30901,269,414,732,786
