VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
ARBA VIJAYA,565,4,258,2,130,1,0,3
ARMALA,1047,2,192,1,94,0,0,0
BHACHOK,337,0,3,0,38,0,0,0
BHADAURE TAMAGI,817,1,53,1,3,0,0,0
BHARAT POKHARI,1425,10,300,1,721,1,4,6
CHAPAKOT,657,0,12,0,5,0,0,6
DANGSING,749,1,56,0,2,0,0,2
DEURALI,583,0,50,0,15,0,0,0
DHAMPUS,586,0,31,0,2,0,0,1
DHIKUR POKHARI,1671,0,178,0,26,1,0,4
DHITAL,731,0,22,0,10,0,0,4
GHACHOK,284,2,17,0,282,0,0,3
GHANDRUK,990,1,105,0,0,1,0,5
HANSAPUR,935,0,25,0,2,0,0,1
HEMJA,1422,35,1433,2,118,0,4,5
KAHUN,332,2,105,0,131,0,3,1
KALIKA,933,1,36,1,49,0,0,6
KASKIKOT,1438,1,53,0,12,0,0,4
KRITINACHNE CHAUR,1277,3,39,1,19,0,0,5
LAHACHOK,677,2,53,0,93,0,0,4
LAMACHAUR,524,18,1153,0,41,0,2,7
LEKHNATH MUNICIPALITY,4182,168,8002,22,2453,19,31,60
LUMLE,980,3,62,0,0,1,0,10
LWANGGHALEL,1016,0,48,0,1,0,0,5
MACHHAPUCHCHHRE,391,0,2,0,0,0,0,2
MAJHTHANA,801,0,19,0,10,0,0,3
MAUJA,378,1,0,0,0,0,0,0
MIJUREDADA,885,9,9,2,0,0,0,2
NAMARJUNG,262,0,1,0,0,0,0,1
NIRMAL POKHARI,1011,0,15,0,61,0,0,1
PARCHE,585,0,2,0,1,0,0,1
POKHARA SUB-METROPOLITAN CITY,2764,1367,62879,20,595,110,240,261
PUMDIBHUMDI,1463,14,239,0,119,0,2,0
PURANCHAUR,747,4,66,0,45,1,0,2
RIBHAN,359,0,5,0,0,0,0,0
RUPAKOT,663,1,22,0,39,0,0,3
SAIMARANG,306,0,0,0,0,0,0,3
SALYAN,766,4,153,0,2,0,0,1
SARANGKOT,1228,20,738,3,81,1,1,8
SARDIKHOLA,694,5,116,0,56,0,0,8
SIDDHA,767,2,9,1,33,1,1,0
SILDUJURE,570,0,0,0,0,0,0,0
THUMAKODADA,719,2,8,0,2,0,0,3
THUMKI,766,1,7,1,52,0,0,1
VALAM,504,2,100,1,33,0,0,8
TOTAL,40787,1686,76676,59,5376,137,288,450
