VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
ARBA VIJAYA,572,381,2,1,1,1,5
ARMALA,916,411,2,6,1,0,0
BHACHOK,371,3,0,3,0,0,1
BHADAURE TAMAGI,726,136,13,0,0,0,0
BHARAT POKHARI,1612,815,13,15,0,1,12
CHAPAKOT,610,51,1,6,0,6,6
DANGSING,703,45,45,8,0,6,3
DEURALI,583,64,0,1,0,0,0
DHAMPUS,569,27,9,3,0,11,1
DHIKUR POKHARI,1479,358,6,5,0,25,7
DHITAL,707,52,0,5,0,0,3
GHACHOK,507,73,2,1,0,0,5
GHANDRUK,959,74,36,27,0,2,4
HANSAPUR,922,35,4,1,0,0,1
HEMJA,1025,1879,7,22,3,75,8
KAHUN,394,173,0,5,0,0,2
KALIKA,883,127,2,6,0,0,8
KASKIKOT,1247,246,4,0,0,2,9
KRITINACHNE CHAUR,900,432,0,3,0,1,8
LAHACHOK,641,174,2,2,0,0,10
LAMACHAUR,645,1045,2,18,1,12,22
LEKHNATH MUNICIPALITY,3713,10934,77,51,9,45,108
LUMLE,865,91,68,12,0,5,15
LWANGGHALEL,972,69,5,2,0,14,8
MACHHAPUCHCHHRE,352,21,5,13,0,2,2
MAJHTHANA,789,28,5,3,0,5,3
MAUJA,378,0,0,1,0,0,0
MIJUREDADA,850,9,32,14,0,0,2
NAMARJUNG,259,2,1,1,0,0,1
NIRMAL POKHARI,1001,74,6,6,0,0,1
PARCHE,577,8,0,0,0,0,4
POKHARA SUB-METROPOLITAN CITY,4691,61154,232,322,42,1242,553
PUMDIBHUMDI,1569,258,2,5,0,3,0
PURANCHAUR,740,115,5,1,0,0,4
RIBHAN,349,13,2,0,0,0,0
RUPAKOT,631,90,0,3,0,1,3
SAIMARANG,288,1,11,4,0,1,4
SALYAN,712,143,55,11,0,3,2
SARANGKOT,907,1108,9,11,0,36,9
SARDIKHOLA,684,168,4,12,0,2,9
SIDDHA,721,78,7,7,0,0,1
SILDUJURE,548,15,0,1,0,0,6
THUMAKODADA,716,3,0,10,0,0,5
THUMKI,796,13,10,7,0,0,2
VALAM,402,230,0,1,0,1,14
TOTAL,40481,81226,686,636,57,1502,871
