VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
ARBA VIJAYA,614,699,480,499,102,168,32,32
ARMALA,925,978,792,701,125,266,8,11
BHACHOK,252,290,194,169,52,111,6,10
BHADAURE TAMAGI,567,646,433,400,105,209,29,37
BHARAT POKHARI,1784,1960,1377,1365,371,552,36,43
CHAPAKOT,476,550,383,381,92,164,1,5
DANGSING,561,663,449,437,100,199,12,27
DEURALI,393,465,328,347,63,115,2,3
DHAMPUS,461,554,373,370,86,176,2,8
DHIKUR POKHARI,1273,1411,1062,1071,187,310,24,30
DHITAL,448,538,378,389,67,146,3,3
GHACHOK,425,442,334,290,87,149,4,3
GHANDRUK,810,895,531,557,270,327,9,11
HANSAPUR,553,716,444,516,92,178,17,22
HEMJA,2016,2265,1673,1718,308,512,35,35
KAHUN,332,360,303,283,27,71,2,6
KALIKA,574,654,469,468,74,130,31,56
KASKIKOT,935,1096,825,866,97,211,13,19
KRITINACHNE CHAUR,804,1049,687,763,115,279,2,7
LAHACHOK,536,664,437,468,86,183,13,13
LAMACHAUR,1077,1114,895,834,175,269,7,11
LEKHNATH MUNICIPALITY,9991,10763,8061,7988,1772,2577,158,198
LUMLE,801,942,608,592,175,327,18,23
LWANGGHALEL,790,940,580,583,191,330,19,27
MACHHAPUCHCHHRE,284,345,201,229,82,110,1,6
MAJHTHANA,460,591,386,417,67,168,7,6
MAUJA,227,262,172,174,45,77,10,11
MIJUREDADA,743,843,602,565,131,267,10,11
NAMARJUNG,186,211,161,155,23,55,2,1
NIRMAL POKHARI,672,739,572,536,91,190,9,13
PARCHE,378,481,275,309,84,142,19,30
POKHARA SUB-METROPOLITAN CITY,41810,40227,31541,29139,9524,10383,745,705
PUMDIBHUMDI,1250,1415,1006,1034,208,335,36,46
PURANCHAUR,560,653,448,480,109,172,3,1
RIBHAN,225,263,198,180,25,73,2,10
RUPAKOT,496,638,413,429,68,185,15,24
SAIMARANG,214,248,166,169,48,79,0,0
SALYAN,671,780,567,541,93,220,11,19
SARANGKOT,1433,1609,1056,1121,350,454,27,34
SARDIKHOLA,590,711,426,419,161,282,3,10
SIDDHA,543,690,458,473,73,189,12,28
SILDUJURE,464,546,368,354,94,191,2,1
THUMAKODADA,456,526,314,301,115,194,27,31
THUMKI,601,658,504,466,81,173,16,19
VALAM,352,386,304,308,43,68,5,10
INSTITUTIONAL,4208,1685,3376,1529,822,147,10,9
