VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
ARBA VIJAYA,12,865,83,3
ARMALA,16,1174,146,0
BHACHOK,1,377,0,0
BHADAURE TAMAGI,35,732,108,0
BHARAT POKHARI,20,1964,478,6
CHAPAKOT,40,487,147,6
DANGSING,16,700,92,2
DEURALI,14,570,64,0
DHAMPUS,6,580,33,1
DHIKUR POKHARI,39,1640,197,4
DHITAL,1,714,48,4
GHACHOK,8,483,94,3
GHANDRUK,19,1049,29,5
HANSAPUR,1,952,9,1
HEMJA,32,2812,170,5
KAHUN,11,515,47,1
KALIKA,32,872,116,6
KASKIKOT,41,1342,121,4
KRITINACHNE CHAUR,39,1156,144,5
LAHACHOK,28,653,144,4
LAMACHAUR,21,1522,195,7
LEKHNATH MUNICIPALITY,72,14163,639,63
LUMLE,13,845,188,10
LWANGGHALEL,6,996,62,6
MACHHAPUCHCHHRE,6,369,18,2
MAJHTHANA,8,804,18,3
MAUJA,5,366,8,0
MIJUREDADA,13,772,120,2
NAMARJUNG,12,249,2,1
NIRMAL POKHARI,3,1021,63,1
PARCHE,15,573,0,1
POKHARA SUB-METROPOLITAN CITY,225,64145,3596,270
PUMDIBHUMDI,22,1756,59,0
PURANCHAUR,12,768,83,2
RIBHAN,1,348,15,0
RUPAKOT,10,683,32,3
SAIMARANG,9,287,10,3
SALYAN,31,775,119,1
SARANGKOT,89,1644,339,8
SARDIKHOLA,43,805,23,8
SIDDHA,13,791,10,0
SILDUJURE,1,556,13,0
THUMAKODADA,8,703,20,3
THUMKI,2,819,6,1
VALAM,10,604,26,8
TOTAL,1061,116001,7934,463
