VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
AALAPOT,444,204,1,2,16,1,3
BAAD BHANJYANG,481,313,6,2,0,7,8
BAJRAYOGINI (SANKHU),751,160,3,2,5,0,7
BALAMBU,424,1258,3,5,15,3,26
BALUWA,615,410,4,19,125,2,29
BHADRABAS,144,213,0,6,138,1,1
BHIMDHUNGA,487,123,2,4,0,1,2
BUDANILKANTHA,672,2959,6,18,17,11,42
CHALNAKHEL,587,376,9,17,2,0,14
CHAPALI BHADRAKALI,526,1982,13,14,3,2,34
CHHAIMALE,889,68,3,1,0,1,6
DAHACHOK,544,324,1,5,0,0,4
CHUNIKHEL,288,433,8,7,115,3,5
DAANCHHI,736,1746,12,56,2,2,39
DAXINKALI,584,375,0,2,10,0,13
DHAPASI,353,7503,54,84,17,13,178
DHARMASTHALI,568,585,4,68,187,6,3
FUTUNG,437,590,8,1,13,7,8
GAGALPHEDI,607,368,8,2,149,18,14
GOKARNESWOR,438,1247,15,26,2,13,27
GOLDHUNGA,914,2711,16,48,24,20,73
GONGGABU,580,13505,57,57,43,19,195
GOTHATAR,827,5640,39,65,30,18,130
ICHANG NARAYAN,792,5249,31,32,49,4,131
INDRAYANI,386,260,5,7,51,0,8
JHOR MAHANKAL,615,242,4,10,0,1,1
JITPURPHEDI,828,245,4,21,1,1,3
JORPATI,846,19772,182,162,17,101,782
KABHRESTHALI,689,287,7,15,1,0,8
KAPAN,478,11362,59,86,28,21,290
KATHMANDU METROPOLITAN CITY,30040,212587,1576,2089,307,691,7002
KHADKA BHADRAKALI,287,2146,7,16,59,21,46
KIRTIPUR MUNICIPALITY,3864,14957,80,169,17,13,341
LAPSIPHEDI,1077,53,3,9,58,0,9
MACHHEGAUN,387,470,5,2,1,0,7
MAHADEVATHAN,609,2790,14,24,1,2,291
MAHANKAL,307,3956,23,72,8,5,50
MANMAIJU,599,10070,44,36,8,20,172
MATATIRTHA,319,1045,7,17,0,1,24
MULPANI,508,2035,9,32,24,9,30
NAGLEBHARE,915,14,0,2,0,0,4
NAIKAP NAYA BHANJYANG,310,1620,5,6,2,4,33
NAIKAP PURANO BHANJYANG,453,583,3,7,0,3,5
NAYAPATI,484,999,9,31,175,9,18
PUKHULACHHI,368,196,9,2,10,0,11
RAMKOT,908,970,5,10,2,4,38
SANGLA,558,194,2,19,32,0,3
SETIDEVI,625,324,0,12,68,5,5
SATUNGAL,419,2237,8,38,1,1,22
SEUCHATAR,585,2691,18,35,4,8,37
SHESHNARAYAN,411,310,0,11,51,3,58
SITAPAILA,531,3884,12,14,1,6,76
SUNDARIJAL,418,95,2,2,27,0,3
SUNTOL,801,175,2,1,37,1,4
TALKUDUDECHOUR,587,57,0,2,0,0,2
THANKOT,839,1840,20,14,4,2,101
TINTHANA,336,2069,13,10,12,0,67
TOKHA CHANDESWORI,314,519,1,2,0,1,4
TOKHA SARSWOTI,167,869,6,30,13,76,28
TOTAL,65556,350265,2447,3558,1982,1161,10575
