VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
AALAPOT,442,488,348,353,90,123,4,12
BAAD BHANJYANG,640,672,447,439,178,222,15,11
BAJRAYOGINI (SANKHU),763,752,598,512,153,183,12,57
BALAMBU,1097,1114,773,776,291,315,33,23
BALUWA,859,948,606,648,223,253,30,47
BHADRABAS,312,299,259,227,53,70,0,2
BHIMDHUNGA,493,486,388,322,98,146,7,18
BUDANILKANTHA,2456,2455,1870,1728,568,703,18,24
CHALNAKHEL,675,770,492,518,168,231,15,21
CHAPALI BHADRAKALI,1787,1770,1358,1292,408,458,21,20
CHHAIMALE,734,903,463,516,226,335,45,52
DAHACHOK,607,609,456,427,142,172,9,10
CHUNIKHEL,713,717,518,465,189,233,6,19
DAANCHHI,1887,1778,1312,1130,476,531,99,117
DAXINKALI,754,710,550,496,188,200,16,14
DHAPASI,4710,4352,3622,3149,968,1089,120,114
DHARMASTHALI,1031,1023,737,676,266,317,28,30
FUTUNG,758,784,593,544,155,229,10,11
GAGALPHEDI,872,890,645,615,224,265,3,10
GOKARNESWOR,1219,1236,831,809,351,377,37,50
GOLDHUNGA,2754,2699,2007,1790,706,828,41,81
GONGGABU,8599,7965,6499,5738,2006,2127,94,100
GOTHATAR,3954,3887,3043,2770,826,994,85,123
ICHANG NARAYAN,3756,3773,2883,2625,795,1090,78,58
INDRAYANI,491,474,383,340,86,112,22,22
JHOR MAHANKAL,665,732,534,510,131,219,0,3
JITPURPHEDI,758,905,578,651,164,225,16,29
JORPATI,15289,15330,10541,9984,4157,4621,591,725
KABHRESTHALI,744,797,582,581,144,195,18,21
KAPAN,7586,7288,5799,5331,1572,1740,215,217
KATHMANDU METROPOLITAN CITY,134429,120684,99975,87953,31580,30051,2874,2680
KHADKA BHADRAKALI,1554,1546,1188,1078,317,412,49,56
KIRTIPUR MUNICIPALITY,7331,6648,5707,4945,1456,1535,168,168
LAPSIPHEDI,1110,1208,802,843,271,313,37,52
MACHHEGAUN,610,630,435,438,169,177,6,15
MAHADEVATHAN,2392,2436,1798,1741,518,599,76,96
MAHANKAL,2515,2376,1994,1730,484,601,37,45
MANMAIJU,6290,6247,4861,4357,1299,1739,130,151
MATATIRTHA,995,942,720,674,262,259,13,9
MULPANI,1948,1847,1429,1336,455,450,64,61
NAGLEBHARE,822,947,614,645,175,242,33,60
NAIKAP NAYA BHANJYANG,1139,1122,833,772,295,335,11,15
NAIKAP PURANO BHANJYANG,587,531,472,393,108,130,7,8
NAYAPATI,1143,1194,885,837,241,334,17,23
PUKHULACHHI,306,331,226,246,71,80,9,5
RAMKOT,1254,1252,909,877,315,342,30,33
SANGLA,613,632,467,439,143,187,3,6
SETIDEVI,616,578,481,429,119,135,16,14
SATUNGAL,1679,1600,1203,1068,451,502,25,30
SEUCHATAR,1901,1903,1410,1341,428,499,63,63
SHESHNARAYAN,588,566,433,401,149,165,6,0
SITAPAILA,2594,2588,1926,1749,613,770,55,69
SUNDARIJAL,459,532,294,306,128,165,37,61
SUNTOL,811,825,591,559,214,255,6,11
TALKUDUDECHOUR,526,582,356,352,169,227,1,3
THANKOT,2136,1929,1321,1241,736,617,79,71
TINTHANA,1447,1442,1001,941,415,458,31,43
TOKHA CHANDESWORI,627,701,477,502,147,195,3,4
TOKHA SARSWOTI,908,912,586,644,302,255,20,13
INSTITUTIONAL,15264,6549,9782,5626,4696,798,786,125
