VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
AALAPOT,23,331,101,211,2,0,0,3
BAAD BHANJYANG,17,509,20,255,1,0,3,12
BAJRAYOGINI (SANKHU),34,669,70,143,3,0,1,8
BALAMBU,15,342,123,1220,1,0,2,31
BALUWA,29,545,186,397,10,0,2,35
BHADRABAS,20,242,21,214,5,0,0,1
BHIMDHUNGA,9,474,15,118,0,0,0,3
BUDANILKANTHA,32,829,119,2690,4,0,7,44
CHALNAKHEL,38,456,150,345,0,0,0,16
CHAPALI BHADRAKALI,17,606,80,1831,2,0,2,36
CHHAIMALE,109,412,384,53,0,0,1,9
DAHACHOK,3,460,141,271,0,0,0,3
CHUNIKHEL,8,188,216,432,11,0,0,4
DAANCHHI,73,705,100,1659,5,0,2,49
DAXINKALI,37,363,140,428,0,0,1,15
DHAPASI,19,798,69,7112,12,0,7,185
DHARMASTHALI,18,764,80,550,0,0,2,7
FUTUNG,8,429,85,534,1,0,1,6
GAGALPHEDI,32,717,55,348,2,0,2,10
GOKARNESWOR,7,317,188,1217,5,0,1,33
GOLDHUNGA,41,1097,43,2538,1,0,10,76
GONGGABU,30,1076,69,12994,25,0,18,244
GOTHATAR,25,747,325,5492,18,0,6,136
ICHANG NARAYAN,35,899,72,5129,3,0,8,142
INDRAYANI,28,339,81,256,5,0,0,8
JHOR MAHANKAL,34,640,35,163,0,0,1,0
JITPURPHEDI,4,874,23,194,4,0,0,4
JORPATI,57,2242,205,18418,24,0,40,876
KABHRESTHALI,14,730,25,230,2,0,0,6
KAPAN,44,1190,95,10650,13,0,13,319
KATHMANDU METROPOLITAN CITY,875,37317,2614,204824,658,27,423,7554
KHADKA BHADRAKALI,12,426,112,1979,2,0,0,51
KIRTIPUR MUNICIPALITY,185,2689,741,15403,20,0,40,363
LAPSIPHEDI,175,925,41,49,0,0,8,11
MACHHEGAUN,8,249,108,494,3,0,2,8
MAHADEVATHAN,11,433,183,2799,2,0,5,298
MAHANKAL,24,511,34,3789,8,0,0,55
MANMAIJU,83,782,163,9709,9,0,12,191
MATATIRTHA,7,366,50,960,1,0,2,27
MULPANI,18,535,129,1926,1,0,4,34
NAGLEBHARE,112,787,19,12,0,0,0,5
NAIKAP NAYA BHANJYANG,4,195,86,1654,1,0,3,37
NAIKAP PURANO BHANJYANG,21,322,107,593,0,1,3,7
NAYAPATI,40,543,158,955,3,0,4,22
PUKHULACHHI,19,343,63,158,2,0,0,11
RAMKOT,27,832,104,929,3,1,1,40
SANGLA,27,614,13,150,2,0,0,2
SETIDEVI,54,451,147,376,1,3,1,6
SATUNGAL,15,320,103,2248,16,0,1,23
SEUCHATAR,35,469,134,2691,5,0,1,43
SHESHNARAYAN,17,334,45,388,1,0,0,59
SITAPAILA,4,556,46,3827,5,0,4,82
SUNDARIJAL,9,439,7,85,0,0,0,7
SUNTOL,35,621,182,172,1,0,6,4
TALKUDUDECHOUR,14,397,192,43,0,0,0,2
THANKOT,36,713,156,1808,4,0,0,103
TINTHANA,10,305,70,2048,0,1,3,70
TOKHA CHANDESWORI,1,304,59,473,0,0,0,4
TOKHA SARSWOTI,3,344,33,770,7,0,1,31
TOTAL,2741,73112,9215,337404,914,33,654,11471
