VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
ANEKOT,1138,4,28,13,298,0,0,12
BALDTHALI,635,1,9,0,10,1,0,4
BALTING,494,3,1,0,0,0,0,6
BALUWAPATI DEUPUR,1170,2,85,2,19,1,1,12
BANAKHU CHOR,695,1,1,1,1,0,2,8
BANEPA MUNICIPALITY,666,140,4668,1,5,0,7,53
BEKHSIMLE GHARTIGAUN,255,0,0,0,0,0,0,1
BHIMKHORI,990,5,51,0,16,0,0,4
BHUMLUTAR,457,3,61,0,0,0,0,8
BIRTADEURALI,518,5,0,0,2,0,0,5
BOLDE FEDICHE,463,0,3,0,0,0,0,4
BUDHAKHANI,649,3,1,0,8,0,0,1
CHALAL GANESHSTHAN,858,0,5,0,0,0,0,1
CHANDENI MANDAN,708,1,11,0,59,0,1,2
CHOUBAS,473,8,1,4,0,0,0,1
CHYAMRANGBESI,302,0,1,0,1,0,0,0
CHYASING KHARKA,605,0,1,0,0,0,0,5
DANDAGAUN,478,3,0,0,0,0,0,3
DAPCHA CHATREBHANJH,564,0,65,0,2,0,0,1
DARAUNE POKHARI,629,1,12,0,0,0,0,3
DEWABHUMI BALUWA,1257,4,81,6,221,2,0,7
DEVITAR,543,0,3,0,26,0,0,0
DHULIKHEL MUNICIPALITY,1054,49,1930,2,15,1,10,218
DHUNKHARKA,1013,1,19,0,0,0,0,2
DHUSENI SIWALAYA,357,3,1,0,0,0,0,5
DOLALGHAT,360,17,76,0,0,0,1,13
FALATE BHUMLU,297,0,3,0,0,0,2,1
FALEMETAR,664,2,0,0,0,0,0,2
FOKSINGTAR,374,0,1,0,1,0,0,0
GAIRI BISOUNA DEUPUR,997,2,94,1,100,0,1,8
GHARTICHHAP,406,1,0,0,0,0,0,4
GOKULE,742,2,0,0,0,0,0,8
GOTHPANI,516,0,1,0,0,0,0,1
HOKSE BAZAR,879,2,49,0,33,1,1,5
JAISITHOK MANDAN,510,1,7,0,148,0,0,1
JYAMDI MANDAN,940,0,5,1,142,1,0,1
KALATI BHUMIDANDA,739,0,20,0,2,0,0,5
KANPUR KALAPANI,899,2,13,0,0,0,1,7
KATIKE DEURALI,657,0,12,0,6,0,0,0
KATUNJE BESI,436,2,34,0,23,1,0,1
KAVRE NITYA CHANDESWOR,909,4,50,0,71,0,0,8
KHAHARE PANGU,549,1,6,0,0,0,0,3
KHANALTHOK,917,5,125,1,27,1,0,6
KHARELTHOK,616,2,5,0,2,0,0,1
KHARPACHOK,315,4,11,0,5,0,0,0
KOLATI BHUMLU,312,2,1,0,0,0,0,1
KOSHIDEKHA,451,0,4,1,3,0,0,2
KURUWAS CHAPAKHORI,545,3,3,1,24,0,0,8
KUSHADEVI,1395,9,124,0,16,0,0,5
MACHCHHEGAUN,1234,10,13,0,2,0,1,3
MADAN KUNDARI,469,1,3,0,2,0,0,3
MAHADEVSTHAN MANDAN,1239,3,121,5,497,0,3,5
MAHADEVTAR,372,1,4,0,0,0,0,4
MAHANKAL CHAUR,782,1,2,0,0,0,0,2
MAHENDRA JYOTI,615,1,26,0,12,0,0,7
MAJHI FEDA,617,1,5,1,0,0,0,3
MANGALTAR,676,6,48,1,51,0,1,3
MATHURAPATI FULBARI,717,6,55,0,188,2,1,4
METHINKOT,837,1,36,1,168,0,0,12
MILCHE,370,0,0,0,77,0,0,0
NAGRE GAGARCHE,475,2,1,0,0,0,0,1
UGRACHANDI NALA,1072,11,332,0,18,0,0,11
NASIKASTHAN SANGA,755,17,520,0,12,0,0,1
NAYAGAUN DEUPUR,836,0,13,2,100,0,0,0
PANAUTI MUNICIPALITY,3402,66,2340,4,71,3,3,54
PANCHKHAL,1886,25,536,6,288,12,1,12
PATALEKHET,722,2,14,1,65,0,0,2
POKHARI CHAURI,635,2,5,0,3,0,2,1
POKHARI NARAYANSTHAN,582,2,9,0,54,0,0,0
PURANOGAUN DAPCHA,442,0,1,0,0,0,0,0
RAVI OPI,667,1,45,0,203,0,1,6
RYALE,948,0,18,1,6,0,0,4
SALDHARA,444,4,0,1,9,0,0,3
SALLE BHUMLU,478,1,7,0,0,0,0,3
SALMECHAKALA (TALDHUNGA),298,1,0,1,12,0,0,0
SANKHUPATI CHOUR,600,9,95,0,18,0,0,0
SANOWANGTHALI,340,0,0,0,0,0,0,3
SAPING,776,0,2,0,0,1,0,7
SARADA BATASE,432,3,55,0,19,0,2,0
SARAMTHALI,237,0,2,0,0,0,0,0
SARASYUNKHARK,1083,0,4,0,0,0,0,8
SATHIGHAR BHAGAWATI,572,1,46,0,27,1,1,2
SIKHAR AMBOTE,818,13,13,1,1,2,0,2
SIMALCHOUR SYAMPATI,806,3,17,0,0,0,2,4
SIMTHALI,349,0,0,0,0,0,0,1
SIPALI CHILAUNE,560,5,6,0,0,0,1,2
SISAKHANI,343,0,1,0,0,0,0,0
THULO PARSEL,561,0,9,0,7,0,1,0
TUKUCHA NALA,966,3,45,1,7,0,0,7
UGRATARA JANAGAL,683,48,828,0,10,1,2,62
TOTAL,63092,548,12959,60,3213,31,49,699
