VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
ANEKOT,966,1,97,379,33,0,5,12
BALDTHALI,638,0,0,11,2,5,0,4
BALTING,489,0,2,4,3,0,0,6
BALUWAPATI DEUPUR,812,2,33,134,271,7,21,12
BANAKHU CHOR,634,0,1,56,0,10,1,7
BANEPA MUNICIPALITY,4160,59,491,101,465,9,202,53
BEKHSIMLE GHARTIGAUN,255,0,0,0,0,0,0,1
BHIMKHORI,1011,0,1,21,11,14,4,4
BHUMLUTAR,517,0,0,0,0,4,0,8
BIRTADEURALI,491,0,0,9,1,24,0,5
BOLDE FEDICHE,376,0,53,5,31,1,0,4
BUDHAKHANI,584,1,26,0,43,7,0,1
CHALAL GANESHSTHAN,810,0,4,15,16,17,1,1
CHANDENI MANDAN,610,0,4,32,134,0,0,2
CHOUBAS,429,0,2,4,51,0,0,1
CHYAMRANGBESI,294,0,4,4,0,2,0,0
CHYASING KHARKA,526,1,12,17,37,12,1,5
DANDAGAUN,477,0,1,0,0,3,0,3
DAPCHA CHATREBHANJH,333,2,223,4,69,0,0,1
DARAUNE POKHARI,535,0,45,62,0,0,0,3
DEWABHUMI BALUWA,1211,3,199,102,17,0,39,7
DEVITAR,471,0,2,91,7,0,1,0
DHULIKHEL MUNICIPALITY,2882,0,14,24,85,4,45,225
DHUNKHARKA,1017,0,0,6,5,5,0,2
DHUSENI SIWALAYA,355,0,0,3,4,0,0,4
DOLALGHAT,353,0,4,91,0,6,0,13
FALATE BHUMLU,287,0,10,5,0,0,0,1
FALEMETAR,617,0,2,17,1,28,1,2
FOKSINGTAR,355,0,1,7,1,12,0,0
GAIRI BISOUNA DEUPUR,813,1,97,160,123,1,0,8
GHARTICHHAP,293,0,0,67,48,0,0,3
GOKULE,593,2,0,26,60,63,0,8
GOTHPANI,341,0,43,54,79,0,0,1
HOKSE BAZAR,336,2,348,139,97,5,38,5
JAISITHOK MANDAN,538,1,18,72,36,0,1,1
JYAMDI MANDAN,907,0,65,98,17,0,2,1
KALATI BHUMIDANDA,734,0,0,12,8,7,0,5
KANPUR KALAPANI,550,1,102,165,90,7,0,7
KATIKE DEURALI,209,0,0,289,177,0,0,0
KATUNJE BESI,405,0,18,66,0,7,0,1
KAVRE NITYA CHANDESWOR,779,3,103,74,65,9,1,8
KHAHARE PANGU,529,0,0,4,8,13,2,3
KHANALTHOK,740,0,28,213,93,2,0,6
KHARELTHOK,483,3,87,45,0,6,1,1
KHARPACHOK,316,0,12,4,2,1,0,0
KOLATI BHUMLU,304,0,0,11,0,0,0,1
KOSHIDEKHA,419,3,17,12,2,6,0,2
KURUWAS CHAPAKHORI,310,0,13,130,118,5,0,8
KUSHADEVI,1481,3,9,21,25,3,2,5
MACHCHHEGAUN,848,1,214,168,24,5,0,3
MADAN KUNDARI,424,0,2,12,36,1,0,3
MAHADEVSTHAN MANDAN,1316,0,61,155,336,0,1,4
MAHADEVTAR,376,0,0,1,0,0,0,4
MAHANKAL CHAUR,735,0,1,30,6,13,0,2
MAHENDRA JYOTI,623,1,1,7,20,2,1,6
MAJHI FEDA,616,2,0,1,5,0,0,3
MANGALTAR,764,1,2,11,2,3,0,3
MATHURAPATI FULBARI,578,0,168,133,88,1,1,4
METHINKOT,538,8,35,431,13,9,9,12
MILCHE,428,0,1,17,0,1,0,0
NAGRE GAGARCHE,429,0,1,25,23,0,0,1
UGRACHANDI NALA,1199,1,14,12,206,0,0,12
NASIKASTHAN SANGA,1048,2,176,53,17,8,0,1
NAYAGAUN DEUPUR,704,0,41,91,114,1,0,0
PANAUTI MUNICIPALITY,5014,9,612,180,67,5,4,52
PANCHKHAL,1664,6,658,217,195,8,7,11
PATALEKHET,685,0,19,35,64,1,0,2
POKHARI CHAURI,575,0,0,9,63,0,0,1
POKHARI NARAYANSTHAN,360,0,95,0,191,1,0,0
PURANOGAUN DAPCHA,354,1,20,63,1,2,2,0
RAVI OPI,740,4,11,44,105,3,10,6
RYALE,854,0,10,29,73,6,1,4
SALDHARA,409,1,1,31,2,10,4,3
SALLE BHUMLU,483,1,1,0,1,0,0,3
SALMECHAKALA (TALDHUNGA),263,0,2,23,7,15,2,0
SANKHUPATI CHOUR,370,2,143,104,100,3,0,0
SANOWANGTHALI,314,0,10,10,6,0,0,3
SAPING,718,1,2,25,17,16,0,7
SARADA BATASE,434,0,66,9,0,2,0,0
SARAMTHALI,226,2,0,0,11,0,0,0
SARASYUNKHARK,960,0,58,22,17,31,0,7
SATHIGHAR BHAGAWATI,480,1,84,30,48,5,0,2
SIKHAR AMBOTE,749,2,6,9,22,60,0,2
SIMALCHOUR SYAMPATI,312,1,191,261,60,2,1,4
SIMTHALI,321,0,0,0,29,0,0,0
SIPALI CHILAUNE,502,0,8,50,3,9,0,2
SISAKHANI,338,0,1,2,0,3,0,0
THULO PARSEL,484,8,5,6,72,2,1,0
TUKUCHA NALA,875,19,8,5,106,7,2,7
UGRATARA JANAGAL,1147,55,64,28,275,0,3,62
TOTAL,63832,217,4983,5205,4760,540,417,697
