VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
ANEKOT,1384,54,4,32,7,12
BALDTHALI,643,12,0,0,1,4
BALTING,94,256,0,144,4,6
BALUWAPATI DEUPUR,1219,50,5,1,5,12
BANAKHU CHOR,287,191,0,123,100,8
BANEPA MUNICIPALITY,5416,31,26,4,9,54
BEKHSIMLE GHARTIGAUN,246,8,0,1,0,1
BHIMKHORI,695,153,1,140,73,4
BHUMLUTAR,498,21,1,0,1,8
BIRTADEURALI,36,326,0,115,48,5
BOLDE FEDICHE,461,5,0,0,0,4
BUDHAKHANI,454,183,0,13,11,1
CHALAL GANESHSTHAN,822,40,0,0,1,1
CHANDENI MANDAN,763,9,3,0,5,2
CHOUBAS,13,362,1,92,18,1
CHYAMRANGBESI,261,39,0,2,2,0
CHYASING KHARKA,600,5,0,0,1,5
DANDAGAUN,400,74,0,7,0,3
DAPCHA CHATREBHANJH,605,24,0,1,1,1
DARAUNE POKHARI,632,10,0,0,0,3
DEWABHUMI BALUWA,1474,67,9,2,19,7
DEVITAR,549,14,4,5,0,0
DHULIKHEL MUNICIPALITY,2972,52,9,5,18,223
DHUNKHARKA,1028,4,1,0,0,2
DHUSENI SIWALAYA,65,274,1,20,1,5
DOLALGHAT,449,4,1,0,0,13
FALATE BHUMLU,286,16,0,0,0,1
FALEMETAR,563,100,0,3,0,2
FOKSINGTAR,335,12,1,12,16,0
GAIRI BISOUNA DEUPUR,1146,42,3,3,1,8
GHARTICHHAP,294,74,0,1,38,4
GOKULE,517,127,0,27,73,8
GOTHPANI,505,12,0,0,0,1
HOKSE BAZAR,906,54,2,1,2,5
JAISITHOK MANDAN,637,28,0,1,0,1
JYAMDI MANDAN,1069,15,2,0,3,1
KALATI BHUMIDANDA,745,15,0,0,1,5
KANPUR KALAPANI,868,43,0,4,0,7
KATIKE DEURALI,663,10,2,0,0,0
KATUNJE BESI,490,6,0,0,0,1
KAVRE NITYA CHANDESWOR,995,38,0,0,1,8
KHAHARE PANGU,519,33,0,4,0,3
KHANALTHOK,955,88,1,32,0,6
KHARELTHOK,592,31,0,2,0,1
KHARPACHOK,306,21,1,7,0,0
KOLATI BHUMLU,304,11,0,0,0,1
KOSHIDEKHA,439,17,1,1,1,2
KURUWAS CHAPAKHORI,440,129,0,1,6,8
KUSHADEVI,1492,48,2,0,2,5
MACHCHHEGAUN,141,573,1,238,309,1
MADAN KUNDARI,472,3,0,0,0,3
MAHADEVSTHAN MANDAN,1821,39,3,3,2,5
MAHADEVTAR,67,89,1,219,1,4
MAHANKAL CHAUR,770,15,0,0,1,1
MAHENDRA JYOTI,646,8,0,1,0,6
MAJHI FEDA,609,14,1,0,0,3
MANGALTAR,360,288,2,127,6,3
MATHURAPATI FULBARI,931,34,0,3,1,4
METHINKOT,957,78,4,4,0,12
MILCHE,284,155,1,7,0,0
NAGRE GAGARCHE,59,392,0,27,0,1
UGRACHANDI NALA,1412,15,3,2,0,12
NASIKASTHAN SANGA,1291,9,3,0,1,1
NAYAGAUN DEUPUR,814,133,1,1,2,0
PANAUTI MUNICIPALITY,5764,106,11,5,3,54
PANCHKHAL,2626,103,7,3,15,12
PATALEKHET,789,13,1,1,0,2
POKHARI CHAURI,641,6,0,0,0,1
POKHARI NARAYANSTHAN,638,7,2,0,0,0
PURANOGAUN DAPCHA,421,21,0,0,1,0
RAVI OPI,890,25,0,1,1,6
RYALE,939,30,0,4,0,4
SALDHARA,383,63,2,10,0,3
SALLE BHUMLU,464,21,0,1,0,3
SALMECHAKALA (TALDHUNGA),180,120,2,9,1,0
SANKHUPATI CHOUR,694,24,1,2,1,0
SANOWANGTHALI,339,1,0,0,0,3
SAPING,758,20,0,0,1,7
SARADA BATASE,490,17,3,0,1,0
SARAMTHALI,235,4,0,0,0,0
SARASYUNKHARK,1068,17,0,2,0,8
SATHIGHAR BHAGAWATI,615,33,0,0,0,2
SIKHAR AMBOTE,131,571,5,38,104,1
SIMALCHOUR SYAMPATI,770,56,0,1,1,4
SIMTHALI,345,4,0,0,0,1
SIPALI CHILAUNE,177,248,0,147,0,2
SISAKHANI,188,48,0,93,15,0
THULO PARSEL,568,9,1,0,0,0
TUKUCHA NALA,988,25,5,1,3,7
UGRATARA JANAGAL,1548,17,6,0,0,63
TOTAL,70415,6692,147,1756,939,702
