VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
AINSELUKHARKA,558,640,435,439,93,152,30,49
ARKHAULE,707,795,574,545,129,234,4,16
BADAHARE,248,340,216,275,32,63,0,2
BADAKA DIYALE,517,569,429,414,84,151,4,4
BAHUNIDANDA,596,640,465,456,129,180,2,4
BAKACHOL,576,658,449,493,112,143,15,22
BAKSILA,672,693,496,456,168,222,8,15
BAMRANG,516,627,423,465,84,154,9,8
BARAHAPOKHARI,883,920,657,653,224,265,2,2
BASPANI,337,326,256,224,74,85,7,17
BATASE,814,934,652,740,162,189,0,5
BIJAYA KHARKA,449,594,394,469,55,121,0,4
BUIPA,797,946,632,694,150,231,15,21
CHHITAPOKHARI,391,439,326,347,61,78,4,14
CHHORAMBU,485,514,357,367,103,130,25,17
CHIPRING,206,230,163,176,41,52,2,2
CHISAPANI,957,976,726,709,228,260,3,7
CHYANDADA,557,697,369,456,175,225,13,16
CHYASMITAR,677,752,534,564,129,174,14,14
DAMARKHUSHIVALAYA,618,632,437,432,174,197,7,3
DANDAGAUN,482,575,398,446,74,105,10,24
DEVISTHAN,462,499,353,352,104,141,5,6
DHITUNG,603,695,508,524,72,123,23,48
DIKTEL,1519,1571,1313,1262,181,280,25,29
DIKUWA,538,593,449,459,89,134,0,0
DIPLUNG,419,425,349,340,53,70,17,15
DORPACHIURIDADA,1025,1244,779,922,236,314,10,8
DUBEKOLDADA,312,332,267,260,44,72,1,0
DUMRE DHARAPANI,523,603,435,466,77,124,11,13
DURCHHIM,738,889,614,675,116,206,8,8
FAKTANG,462,510,382,400,56,96,24,14
HAUNCHUR,430,562,349,442,80,120,1,0
INDRANIPOKHARI,592,623,492,468,82,135,18,20
JALAPA,525,565,408,409,106,149,11,7
JYAMIRE,258,268,210,204,39,46,9,18
KAHULE,324,366,268,301,56,65,0,0
KHALLE,661,688,545,498,103,181,13,9
KHARMI,746,873,585,621,141,242,20,10
KHARPA,484,479,361,326,111,140,12,13
KHARTANCHHA,440,423,332,299,94,112,14,12
KHIDIMA,440,453,366,344,64,95,10,14
KHOTANGBAZAR,372,409,292,313,72,92,8,4
KUVINDE,410,430,345,304,63,119,2,7
LAFYANG,507,609,444,488,63,121,0,0
LAMIDADA,531,596,415,399,116,197,0,0
LICHKIRAMCHE,766,833,633,621,128,202,5,10
LINKUWAPOKHARI,465,532,374,394,76,120,15,18
MAGPA,367,382,303,267,60,99,4,16
MAHADEVASTHAN,559,637,446,480,105,147,8,10
MANGALTAR,516,482,440,380,70,95,6,7
MATTIM BIRTA,767,836,612,591,126,194,29,51
MAUWABOTE,266,361,213,274,51,83,2,4
NERPA,516,612,424,459,67,129,25,24
NIRMALIDADA,357,464,293,356,64,108,0,0
NUNTHALA,298,358,248,263,50,95,0,0
PATHEKA,807,970,584,656,212,297,11,17
PAUWASERA,541,582,408,408,121,157,12,17
PHEDI,735,831,560,593,154,211,21,27
R.MAHESWORI,494,584,353,386,131,187,10,11
RAJAPANI,837,891,708,706,123,178,6,7
RAKHA BANGDEL,519,654,419,487,100,167,0,0
RAKHA DIPSUNG,193,185,152,121,41,62,0,2
RATANCHHA,529,535,451,420,72,109,6,6
JALESWORI,452,538,322,369,101,121,29,48
SA.CHHITAPOKHARI,566,638,480,488,78,143,8,7
SALLE,276,327,222,252,54,75,0,0
SAPTESWOR,425,437,330,326,85,101,10,10
SAUNECHAUR,505,537,370,370,132,166,3,1
SAWAKATAHARE,585,623,426,415,107,153,52,55
SIMPANI,652,692,544,510,99,171,9,11
SUNGDEL,563,554,350,365,160,152,53,37
SUNTALE,467,562,334,388,123,156,10,18
TEMMA,708,796,559,565,119,186,30,45
WOPLUKHA,457,577,348,398,109,179,0,0
WOPUNG,552,606,446,450,101,146,5,10
YAMKHA,514,685,416,514,94,168,4,3
INSTITUTIONAL,201,8,16,5,183,3,2,0
