VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
AINSELUKHARKA,45,21,24,657,343,314,356,179,177,286,161,125,233,109,124,46,28,18,7,6,1,7,7,0,1,0,1,208,103,105,5,2,3
ARKHAULE,27,19,8,861,467,394,441,221,220,259,114,145,133,66,67,75,44,31,16,9,7,5,4,1,2,2,0,153,90,63,17,10,7
BADAHARE,28,14,14,298,148,150,159,76,83,119,52,67,159,92,67,23,14,9,22,15,7,0,0,0,1,1,0,61,35,26,3,0,3
BADAKA DIYALE,24,15,9,800,420,380,324,162,162,174,107,67,133,73,60,48,28,20,15,9,6,3,3,0,0,0,0,4,2,2,3,2,1
BAHUNIDANDA,1,0,1,809,446,363,326,175,151,129,75,54,143,84,59,22,15,7,9,9,0,2,2,0,0,0,0,7,4,3,9,2,7
BAKACHOL,15,9,6,783,430,353,372,168,204,216,115,101,188,100,88,57,32,25,12,9,3,2,1,1,4,3,1,93,62,31,4,3,1
BAKSILA,20,13,7,746,394,352,399,220,179,304,171,133,180,109,71,78,36,42,28,23,5,3,3,0,1,1,0,121,67,54,13,6,7
BAMRANG,56,26,30,745,366,379,392,190,202,245,135,110,351,180,171,70,43,27,10,7,3,8,8,0,1,0,1,116,57,59,1,0,1
BARAHAPOKHARI,184,96,88,1158,639,519,391,225,166,152,100,52,141,82,59,63,36,27,4,4,0,3,3,0,2,1,1,184,89,95,3,0,3
BASPANI,17,8,9,379,206,173,213,108,105,84,49,35,104,55,49,31,14,17,3,3,0,0,0,0,0,0,0,41,23,18,9,4,5
BATASE,112,52,60,1076,532,544,467,255,212,287,164,123,252,136,116,36,17,19,8,7,1,4,4,0,4,2,2,469,200,269,4,0,4
BIJAYA KHARKA,48,17,31,729,352,377,279,125,154,228,117,111,166,100,66,105,65,40,28,19,9,9,8,1,1,1,0,213,88,125,2,0,2
BUIPA,87,48,39,1157,582,575,574,271,303,464,245,219,380,226,154,194,95,99,33,20,13,15,14,1,1,0,1,171,103,68,21,12,9
CHHITAPOKHARI,54,26,28,543,290,253,243,116,127,135,74,61,157,74,83,68,32,36,11,7,4,1,1,0,2,2,0,159,95,64,3,2,1
CHHORAMBU,40,23,17,487,253,234,336,172,164,180,96,84,197,111,86,58,32,26,16,12,4,1,1,0,0,0,0,80,62,18,18,11,7
CHIPRING,37,16,21,278,148,130,138,61,77,78,43,35,125,60,65,14,10,4,5,5,0,2,2,0,0,0,0,6,2,4,3,3,0
CHISAPANI,126,69,57,1102,605,497,552,297,255,294,168,126,256,144,112,129,70,59,12,9,3,10,7,3,3,2,1,38,25,13,4,1,3
CHYANDADA,12,7,5,697,337,360,392,180,212,214,128,86,250,131,119,34,18,16,12,9,3,2,2,0,0,0,0,96,62,34,38,19,19
CHYASMITAR,53,24,29,954,519,435,289,136,153,175,93,82,90,49,41,50,28,22,15,9,6,3,3,0,2,1,1,42,18,24,5,4,1
DAMARKHUSHIVALAYA,57,38,19,865,461,404,306,166,140,132,75,57,119,61,58,48,32,16,6,6,0,0,0,0,0,0,0,91,45,46,17,11,6
DANDAGAUN,128,66,62,537,256,281,329,169,160,216,124,92,261,136,125,68,41,27,29,19,10,3,3,0,0,0,0,119,73,46,9,5,4
