VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
ASHRANG,252,0,0,0,25,0,0,0
BADIKHEL,506,7,259,0,12,0,2,5
BHARDEV,406,3,17,0,1,0,0,3
BHATTEDANDA,397,1,7,0,21,0,0,3
BISANKHUNARAYAN,794,1,246,0,0,0,1,5
BUKHEL,304,1,2,0,26,0,0,1
BUNGAMATI,709,19,570,0,3,0,0,3
CHANDANPUR,206,0,10,0,4,0,0,2
CHAPAGAUN,1181,105,2318,0,2,3,1,100
CHHAMPI,813,9,243,0,0,0,0,6
CHOUGHARE,374,0,3,1,0,0,0,2
DALCHOKI,266,0,2,0,0,0,0,1
DEVICHOUR,521,2,45,0,7,1,0,1
DHAPAKHEL,441,79,2620,4,1,1,8,24
DHUSEL,289,3,8,0,6,0,0,2
DUKUCHHAP,526,0,27,0,2,0,0,0
GIMDI,429,0,7,2,23,0,0,0
GODAMCHAUR,510,23,546,5,1,0,0,9
GODAWARI,625,41,1140,0,2,0,6,11
GOTIKHEL,329,0,23,1,45,0,1,4
HARISIDDHI,74,179,2395,7,0,52,23,7
IKUDOL,379,4,2,0,1,0,0,1
IMADOL,188,182,6406,1,0,2,27,92
JHARUWARASI,406,13,505,0,3,1,2,6
KALESWOR,285,0,2,0,4,0,0,5
KHOKANA,510,17,522,0,0,6,1,0
LALITPUR SUB-METROPOLITAN CITY,954,1867,51045,25,16,115,98,461
LAMATAR,1172,7,548,1,5,0,0,26
LELE,1521,10,266,3,4,0,4,14
LUBHU,492,112,1713,0,1,9,29,9
MALTA,314,2,4,0,44,0,0,6
MANIKHEL,329,2,12,3,49,0,0,1
NALLU,447,0,7,0,2,0,0,4
PYUTAR,376,1,5,0,0,0,0,0
SAINBU,338,170,4430,1,3,6,8,47
SANKHU,448,1,6,0,4,0,0,3
SIDDHIPUR,52,54,1257,0,0,54,7,60
SUNAKOTHI,211,70,2045,1,1,3,52,14
THAIBA,177,170,1606,0,1,7,10,11
THECHO,471,87,1663,80,1,1,32,17
THULADURLUNG,288,0,1,1,0,0,0,1
TIKATHALI,244,67,1978,3,3,0,0,129
TOTAL,19554,3309,84511,139,323,261,312,1096
