VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
ASHRANG,27,246,223,57,32,2,1,18,166,0,0,0,0,3,4
BADIKHEL,45,739,529,630,171,160,45,77,620,20,210,61,6,92,7
BHARDEV,70,336,253,216,19,3,0,4,254,2,26,1,0,1,24
BHATTEDANDA,43,381,293,243,32,6,1,47,286,2,7,0,0,0,5
BISANKHUNARAYAN,80,958,549,867,156,137,27,125,824,15,193,15,1,65,9
BUKHEL,15,316,275,156,24,4,3,2,281,0,13,4,0,0,3
BUNGAMATI,22,1255,839,1150,707,294,87,350,1152,25,475,135,4,197,27
CHANDANPUR,21,195,160,94,13,4,1,28,151,0,15,1,0,0,6
CHAPAGAUN,58,3505,1914,2920,1467,755,251,846,3161,92,908,251,3,458,147
CHHAMPI,37,996,550,878,235,109,24,84,782,11,208,30,4,71,38
CHOUGHARE,93,272,215,134,2,0,0,3,110,0,4,0,0,0,15
DALCHOKI,51,213,161,98,6,5,0,3,188,1,8,1,0,0,5
DEVICHOUR,102,465,226,289,7,12,2,8,422,1,45,1,0,2,10
DHAPAKHEL,50,3073,1324,2132,1750,1270,558,950,2833,155,1282,455,23,933,55
DHUSEL,38,265,235,96,2,2,1,11,161,2,8,0,0,0,5
DUKUCHHAP,103,451,264,368,25,10,5,6,332,4,76,6,1,8,1
GIMDI,108,353,297,74,2,1,0,20,196,0,1,0,0,0,0
GODAMCHAUR,42,1041,462,980,258,227,78,224,835,38,308,47,0,130,11
GODAWARI,36,1747,1107,1431,548,433,147,379,1515,99,450,134,3,285,42
GOTIKHEL,20,383,336,225,45,9,5,15,346,0,31,0,0,1,0
HARISIDDHI,64,2643,1308,2187,1108,800,307,479,2375,166,746,717,2,610,30
IKUDOL,69,315,275,98,5,3,2,18,236,2,4,1,0,0,3
IMADOL,116,6708,3349,3668,4575,2549,1084,2031,6210,272,2594,964,27,1988,74
JHARUWARASI,23,903,590,838,254,258,76,284,785,23,350,91,0,177,10
KALESWOR,25,268,238,138,9,7,1,9,176,0,7,1,0,0,3
KHOKANA,38,1015,464,915,543,246,32,166,938,25,347,129,1,128,3
LALITPUR SUB-METROPOLITAN CITY,620,53516,32410,35348,38200,23151,12506,20825,49682,4187,20846,10795,195,20142,445
LAMATAR,106,1623,1180,1450,670,386,147,573,1141,33,461,117,1,122,30
LELE,83,1691,1017,1396,324,94,20,155,1200,3,161,13,6,26,48
LUBHU,41,2304,1430,1442,1346,668,248,836,2107,79,849,600,1,498,20
MALTA,37,292,232,67,26,6,3,7,179,1,4,7,0,0,41
MANIKHEL,68,325,254,154,15,5,1,3,258,1,17,0,0,2,3
NALLU,74,380,220,266,1,4,0,10,276,5,64,12,0,1,6
PYUTAR,59,323,242,111,17,2,0,5,246,0,5,3,0,0,0
SAINBU,70,4889,3257,3496,2855,1808,1170,1622,4648,513,1727,1017,30,1722,44
SANKHU,38,409,310,267,16,11,0,46,310,6,24,9,0,0,15
SIDDHIPUR,14,1398,905,1030,891,456,103,453,1210,35,503,867,4,268,72
SUNAKOTHI,34,2319,1422,1678,1201,767,298,789,2089,160,857,500,4,655,44
THAIBA,55,1895,1025,1569,761,504,197,464,1736,114,489,326,4,387,32
THECHO,107,2219,1208,1641,1077,568,241,609,1938,152,788,575,2,457,26
THULADURLUNG,54,235,196,41,3,0,0,15,150,1,1,0,0,0,2
TIKATHALI,147,2234,1108,1701,1347,734,223,665,1935,75,855,322,15,541,43
