VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
ASHRANG,251,12,0,14
BADIKHEL,705,64,7,15
BHARDEV,418,8,0,4
BHATTEDANDA,398,22,1,8
BISANKHUNARAYAN,1007,15,0,25
BUKHEL,292,30,0,12
BUNGAMATI,1164,128,6,6
CHANDANPUR,205,13,0,4
CHAPAGAUN,2626,1004,31,49
CHHAMPI,975,84,2,10
CHOUGHARE,370,7,0,3
DALCHOKI,256,10,1,2
DEVICHOUR,531,34,0,12
DHAPAKHEL,1851,1294,18,15
DHUSEL,288,14,0,6
DUKUCHHAP,540,12,0,3
GIMDI,443,9,1,8
GODAMCHAUR,945,143,1,5
GODAWARI,1247,490,64,24
GOTIKHEL,376,23,3,1
HARISIDDHI,1450,1242,39,6
IKUDOL,348,25,1,13
IMADOL,3388,3371,84,55
JHARUWARASI,822,95,5,14
KALESWOR,292,2,1,1
KHOKANA,902,149,4,1
LALITPUR SUB-METROPOLITAN CITY,23416,29829,701,635
LAMATAR,1636,100,6,17
LELE,1667,123,25,7
LUBHU,1867,476,6,16
MALTA,352,9,2,7
MANIKHEL,370,20,0,6
NALLU,455,4,0,1
PYUTAR,368,13,0,1
SAINBU,2206,2641,71,85
SANKHU,446,15,0,1
SIDDHIPUR,1231,252,1,0
SUNAKOTHI,1452,917,6,22
THAIBA,1195,744,20,23
THECHO,1724,612,6,10
THULADURLUNG,265,19,3,4
TIKATHALI,1679,732,5,8
TOTAL,62419,44806,1121,1159
