VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
ASHRANG,14,9,5,385,215,170,185,102,83,95,52,43,84,49,35,33,16,17,12,10,2,1,1,0,0,0,0,108,67,41,2,2,0
BADIKHEL,80,35,45,729,414,315,487,270,217,263,152,111,375,216,159,279,173,106,120,81,39,33,29,4,1,1,0,55,13,42,5,1,4
BHARDEV,73,32,41,497,279,218,261,131,130,99,54,45,83,58,25,28,22,6,1,1,0,0,0,0,2,2,0,53,38,15,5,1,4
BHATTEDANDA,25,11,14,685,379,306,287,170,117,114,67,47,114,61,53,59,33,26,14,10,4,3,3,0,1,0,1,62,35,27,2,1,1
BISANKHUNARAYAN,95,56,39,925,500,425,705,397,308,486,260,226,410,222,188,294,170,124,96,61,35,18,16,2,1,1,0,241,115,126,20,10,10
BUKHEL,12,7,5,510,281,229,268,125,143,149,80,69,98,58,40,97,52,45,21,15,6,2,2,0,1,1,0,38,24,14,2,1,1
BUNGAMATI,115,61,54,1170,724,446,758,448,310,504,283,221,507,296,211,535,316,219,166,112,54,52,31,21,6,2,4,295,140,155,2,2,0
CHANDANPUR,43,21,22,341,194,147,159,79,80,59,39,20,48,25,23,53,31,22,14,10,4,1,1,0,0,0,0,1,0,1,1,1,0
CHAPAGAUN,414,213,201,2960,1586,1374,2047,1119,928,1343,720,623,1565,852,713,1542,867,675,639,430,209,186,133,53,13,4,9,858,451,407,111,63,48
CHHAMPI,106,55,51,1111,616,495,668,373,295,366,190,176,362,211,151,274,152,122,106,71,35,29,19,10,4,1,3,144,73,71,2,1,1
CHOUGHARE,8,4,4,430,236,194,195,99,96,82,43,39,49,28,21,28,17,11,3,2,1,0,0,0,0,0,0,154,89,65,4,2,2
DALCHOKI,32,18,14,347,187,160,185,93,92,69,32,37,60,40,20,18,11,7,15,9,6,4,4,0,0,0,0,54,25,29,2,0,2
DEVICHOUR,168,96,72,800,431,369,287,167,120,138,77,61,96,56,40,42,23,19,7,6,1,2,1,1,1,0,1,109,71,38,1,0,1
DHAPAKHEL,287,151,136,2239,1165,1074,1489,778,711,1307,713,594,1335,731,604,1679,1002,677,1009,596,413,441,321,120,9,5,4,329,144,185,35,15,20
DHUSEL,16,5,11,544,311,233,134,79,55,55,30,25,55,34,21,28,13,15,7,6,1,0,0,0,0,0,0,87,34,53,4,2,2
DUKUCHHAP,72,42,30,672,397,275,293,170,123,201,117,84,116,65,51,83,45,38,33,17,16,1,1,0,2,1,1,111,72,39,5,1,4
GIMDI,47,26,21,815,481,334,252,132,120,113,67,46,81,52,29,36,26,10,11,11,0,0,0,0,1,0,1,88,26,62,1,0,1
GODAMCHAUR,101,53,48,851,473,378,719,384,335,560,286,274,573,327,246,493,274,219,191,121,70,41,30,11,7,6,1,191,87,104,23,14,9
GODAWARI,205,106,99,1477,783,694,1042,545,497,767,415,352,733,417,316,702,374,328,368,219,149,148,101,47,10,5,5,350,161,189,19,10,9
GOTIKHEL,45,22,23,483,268,215,279,123,156,123,64,59,167,90,77,118,75,43,33,25,8,19,16,3,1,1,0,47,26,21,0,0,0
HARISIDDHI,296,148,148,1969,1116,853,1464,831,633,1052,637,415,999,554,445,814,425,389,429,249,180,199,121,78,11,8,3,763,352,411,5,5,0
IKUDOL,56,26,30,628,355,273,236,132,104,101,56,45,104,59,45,66,40,26,21,16,5,3,3,0,3,2,1,30,21,9,4,3,1
IMADOL,737,399,338,4275,2233,2042,3334,1718,1616,2599,1400,1199,3703,2008,1695,3367,1888,1479,1972,1245,727,771,559,212,37,16,21,1036,492,544,90,38,52
