VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
ASHRANG,77,192,3,0,0,0,0,5
BADIKHEL,12,315,102,353,2,0,0,7
BHARDEV,25,345,45,5,1,0,1,8
BHATTEDANDA,19,401,1,0,0,0,0,8
BISANKHUNARAYAN,11,754,85,193,1,0,0,3
BUKHEL,10,323,0,0,0,0,0,1
BUNGAMATI,44,583,184,482,0,0,2,9
CHANDANPUR,17,203,1,0,0,0,0,1
CHAPAGAUN,28,826,590,2099,2,0,2,163
CHHAMPI,54,659,70,276,0,0,1,11
CHOUGHARE,10,365,2,1,0,0,0,2
DALCHOKI,16,251,0,0,0,0,0,2
DEVICHOUR,28,490,40,15,0,0,0,4
DHAPAKHEL,25,281,348,2476,3,0,1,44
DHUSEL,16,285,4,1,0,0,0,2
DUKUCHHAP,83,403,30,37,0,0,1,1
GIMDI,122,329,1,0,0,0,0,9
GODAMCHAUR,23,307,275,476,0,1,0,12
GODAWARI,17,720,86,918,6,0,0,78
GOTIKHEL,15,374,3,1,0,0,0,10
HARISIDDHI,11,343,343,1924,11,0,3,102
IKUDOL,83,301,1,0,0,0,0,2
IMADOL,49,523,277,5889,4,0,13,143
JHARUWARASI,14,237,185,487,0,0,0,13
KALESWOR,2,289,0,0,0,0,0,5
KHOKANA,6,190,286,569,1,0,2,2
LALITPUR SUB-METROPOLITAN CITY,217,8046,1138,42411,150,23,87,2509
LAMATAR,61,823,238,610,0,0,3,24
LELE,68,1242,232,258,2,0,0,20
LUBHU,41,464,434,1404,2,1,3,16
MALTA,109,253,1,0,0,0,0,7
MANIKHEL,16,376,3,0,0,0,0,1
NALLU,4,432,14,4,0,1,1,4
PYUTAR,94,288,0,0,0,0,0,0
SAINBU,29,737,65,3955,5,0,25,187
SANKHU,14,439,3,0,0,0,2,4
SIDDHIPUR,22,232,389,762,2,1,0,76
SUNAKOTHI,14,186,172,1916,6,0,63,40
THAIBA,15,266,346,1246,4,0,0,105
THECHO,14,292,380,1641,0,0,2,23
THULADURLUNG,64,224,1,0,1,0,0,1
TIKATHALI,23,273,172,1674,4,1,1,276
TOTAL,1622,24862,6550,72083,207,28,213,3940
