VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
ARCHALBOT,394,29,0,0,1,0
BAHUNDANDA,383,72,0,24,0,1
BANJHAKHET,607,105,0,2,3,1
BAGLUNGPANI,562,35,1,0,6,5
BANGRE,207,83,1,115,0,2
BANSAR,94,342,3,131,0,2
BESISHAHAR,4223,32,10,0,2,24
BHALAYAKHARKA,505,41,1,1,0,1
BHARTE,559,25,0,0,0,0
BHOJE,179,10,0,285,0,2
BHORLETAR,890,42,1,27,68,5
BHOTE ODAR,2016,40,5,1,1,11
BHUJUNG,336,6,1,5,0,5
BHULBHULE,569,104,5,29,3,2
BICHAUR,384,89,1,37,0,0
CHAKRATIRTHA,1033,192,5,20,1,2
CHANDISTHAN,473,13,1,0,3,2
CHANDRESHWOR,495,42,3,1,0,5
CHITI,1192,67,7,1,30,2
DHAMILIKUWA,999,148,4,1,0,2
DHODENI,51,436,0,59,6,1
DHUSENI,291,18,2,0,0,0
DUDHPOKHARI,449,19,0,0,1,1
DURADANDA,483,33,2,0,1,0
FALENI,0,242,0,42,0,0
GAUNDA,458,130,1,27,0,0
GAUNSHAHAR,1650,93,3,1,3,7
GHANPOKHARA,464,157,0,21,3,3
GHERMU,389,10,0,0,1,2
GILUNNG,11,146,1,255,0,1
HILETAKSAR,368,44,1,0,0,0
ILAMPOKHARI,207,205,1,193,1,1
ISHANESHWOR,124,138,8,367,122,5
JITA,537,36,0,2,3,0
KARAPU,1,269,1,218,28,0
KHUDI,657,123,3,43,0,0
KOLKI,2,212,1,170,0,0
KUNCHHA,472,38,0,0,2,2
MALING,1,198,0,103,5,1
MOHORIYAKOT,0,403,0,142,20,6
NALMA,387,39,0,12,0,0
NAUTHAR,285,67,1,40,136,1
NETA,258,129,2,26,1,0
PACHOK,211,285,0,65,0,0
PAREWADANDA,659,45,1,1,0,0
PASAGAUN,221,64,0,93,4,0
PURANKOT,293,8,0,0,0,0
PYARJUNG,16,278,0,149,0,9
RAMGHA,770,24,0,1,0,0
SAMIBHANJYANG,224,61,1,20,2,1
SHREE BHANJYANG,416,53,1,1,0,2
SIMPANI,736,76,1,3,2,2
SINDURE,278,26,1,5,0,1
SUNDARBAZAR,1706,57,12,0,0,20
SURYAPAL,234,128,5,22,58,2
TAGHRING,423,87,2,7,2,0
TANGRANG TAKSAR,591,20,5,1,0,2
TARKU,337,71,1,11,3,0
TARKUGHAT,678,78,4,2,8,2
UDIPUR,636,49,0,0,9,4
UTTAR KANYA,228,43,0,10,0,0
TOTAL,32302,6155,110,2792,539,150
