VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
ARCHALBOT,21,345,44,11,1,0,0,2
BAHUNDANDA,42,405,31,0,0,0,0,2
BANJHAKHET,74,559,77,7,0,0,0,1
BAGLUNGPANI,44,344,38,0,177,0,0,6
BANGRE,171,230,3,1,0,0,0,3
BANSAR,75,482,10,3,0,0,0,2
BESISHAHAR,25,1170,8,3041,0,0,3,44
BHALAYAKHARKA,94,360,90,4,0,0,0,1
BHARTE,25,284,269,4,1,0,0,1
BHOJE,56,366,50,0,0,0,0,4
BHORLETAR,122,586,48,268,4,0,0,5
BHOTE ODAR,73,886,34,1057,1,0,2,21
BHUJUNG,30,144,178,0,0,0,0,1
BHULBHULE,42,592,63,5,6,0,1,3
BICHAUR,51,164,291,1,1,0,0,3
CHAKRATIRTHA,141,837,190,79,3,0,0,3
CHANDISTHAN,49,392,9,35,0,0,0,7
CHANDRESHWOR,145,384,7,4,0,0,1,5
CHITI,123,1139,10,10,12,0,0,5
DHAMILIKUWA,71,971,87,21,1,0,0,3
DHODENI,148,331,53,1,16,0,1,3
DHUSENI,98,209,2,2,0,0,0,0
DUDHPOKHARI,35,114,281,1,38,0,0,1
DURADANDA,102,404,6,7,0,0,0,0
FALENI,73,130,81,0,0,0,0,0
GAUNDA,142,369,104,0,1,0,0,0
GAUNSHAHAR,54,1225,258,207,2,0,4,7
GHANPOKHARA,103,516,20,0,5,0,0,4
GHERMU,23,310,62,3,0,0,0,4
GILUNNG,49,361,3,0,0,0,0,1
HILETAKSAR,40,367,6,0,0,0,0,0
ILAMPOKHARI,79,189,336,0,3,0,0,1
ISHANESHWOR,93,599,5,58,0,0,0,9
JITA,230,330,12,5,0,0,0,1
KARAPU,80,417,18,1,0,0,0,1
KHUDI,122,607,40,54,0,0,2,1
KOLKI,69,201,114,0,0,0,0,1
KUNCHHA,160,337,4,9,0,0,0,4
MALING,25,271,5,1,0,0,1,5
MOHORIYAKOT,95,410,59,0,0,0,0,7
NALMA,25,394,16,1,0,0,0,2
NAUTHAR,101,411,6,11,0,0,0,1
NETA,160,249,4,1,0,0,0,2
PACHOK,106,272,182,0,1,0,0,0
PAREWADANDA,87,595,10,14,0,0,0,0
PASAGAUN,19,187,174,1,0,0,0,1
PURANKOT,42,215,42,0,0,0,0,2
PYARJUNG,56,323,64,0,0,0,0,9
RAMGHA,123,366,75,229,1,0,0,1
SAMIBHANJYANG,107,175,26,0,0,0,0,1
SHREE BHANJYANG,57,333,81,0,0,0,0,2
SIMPANI,63,643,89,22,1,0,0,2
SINDURE,130,180,0,0,0,0,0,1
SUNDARBAZAR,14,995,7,752,2,0,2,23
SURYAPAL,136,216,29,65,0,0,0,3
TAGHRING,27,443,47,0,1,0,2,1
TANGRANG TAKSAR,141,374,39,63,0,0,0,2
TARKU,45,343,15,20,0,0,0,0
TARKUGHAT,88,600,67,2,0,0,0,15
UDIPUR,40,509,94,50,1,0,0,4
UTTAR KANYA,9,264,7,0,0,0,0,1
TOTAL,4870,26424,4080,6131,279,0,19,245
