VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
ANAKAR,4,980,2,0,0,0,1,2
AURAHI,9,1625,1,1,0,0,0,2
BAGADA,255,551,0,6,339,0,9,6
BADIYA BANCHAURI,4,1134,3,8,0,0,27,2
BAIRGIYA LAXMINIYA,4,574,0,1,0,0,0,5
BALAWA,10,1480,1,4,0,0,0,1
BANAULI DONAULI,4,883,2,1,0,0,54,0
BANOUTA,5,1254,2,2,0,0,35,9
BARDIBAS,2538,8,6,2,7,59,77,13
BASABITTI,21,988,0,3,0,1,17,6
BATHANAHA,112,1497,4,4,1,2,10,14
BELGACHHI,9,210,0,930,0,0,2,6
BHARATPUR,21,1540,26,226,0,0,12,11
BHATAULIYA,0,837,1,0,1,0,1,5
BIJAYALPURA,76,750,20,688,1,0,1,1
BRAMARPURA,87,1553,3,1,0,1,85,4
DAMHIMARAYEE,20,1545,2,0,0,0,152,4
DHAMAURA,345,1941,2,0,194,18,9,8
DHARMAPUR,85,1014,0,2,0,0,1,2
DHIRAPUR,4,1507,3,7,1,0,29,5
EKADARABELA,3,1502,2,3,0,0,91,4
EKARAHIYA,10,1766,1,2,0,0,12,5
ETAHARWAKATTI,161,909,4,2,1,0,75,4
FULAHATTA PARIKAULI,65,932,2,1,0,0,11,12
FULAKAHA,4,1148,1,19,2,0,0,13
GAIDHA BHETPUR,26,886,1,3,1,0,0,2
GAURIBAS,1438,12,13,10,13,0,0,1
GAUSHALA,600,2336,7,42,2,24,6,5
GONARPURA,91,1211,4,1,0,0,1,0
HALKHORI,2,1021,2,3,0,0,21,2
HARIHARPUR HARINAMARI,19,1104,4,0,154,0,0,2
HATHILET,625,0,0,505,0,0,0,9
HATISARWA,17,1225,0,6,0,0,0,6
JALESHWOR MUNICIPALITY,598,3409,8,1,5,0,135,48
KHAIRBANNI,23,1345,3,3,0,0,75,37
KHAYAR MARA,1055,5,13,101,321,226,1,5
KHOPI,53,1340,2,9,0,0,0,5
KHUTTAPIPARADHI,640,1104,1,2,30,0,1,13
KISAN NAGAR,378,3,3,1113,1,0,2,7
KOLHUWA BAGAICHA,296,1006,1,2,1,0,1,1
LAXIMINIYA,823,342,0,798,11,1,1,19
LOHARPATTI,24,1508,3,0,0,1,0,1
MAHADAIYATAPANPUR,196,831,0,3,58,0,0,1
MAHOTTARI,12,1766,2,4,0,0,46,0
MAISTHAN,1623,114,5,383,1,33,0,6
MAJHORA BISHNUPUR,47,1104,1,2,0,0,30,15
MANARA,3,1107,1,7,0,0,19,18
MATIHANI,8,1476,4,0,0,0,20,2
MEGHANATH GORAHANNA,1,1040,0,0,0,0,0,7
NAINHI,58,1265,0,1,0,0,4,17
NIGAUL,111,1215,2,19,0,1,1,4
PARAUL,4,1153,0,2,1,0,0,3
PARSA DEWADH,8,1622,3,1,0,0,15,15
PARSA PATELI,14,692,0,0,1,0,2,0
PASUPATINAGAR,6,4,1,824,2,0,0,4
PIGOUNA,13,709,2,2,1,0,10,2
PIPRA,189,1390,2,2,0,0,37,15
POKHARIBHINDA SAMGRAMPUR,6,929,0,2,1,0,1,3
RAGHUNATHPUR,260,742,0,1,0,0,0,10
RAMGOPALPUR,5,1900,3,4,128,0,0,15
RAMNAGAR,784,181,0,377,1,0,0,0
RATAULI,8,955,1,0,0,0,20,9
SAHASAULA,3,1250,2,1,1,0,1,11
SAHORAWA,5,1085,1,1,0,0,30,0
SANDHA,2,736,0,1,0,0,58,4
SARPALLO,89,1554,21,3,1,4,93,24
SHAMSI,102,917,2,6,0,0,243,3
SHREEPUR,245,1748,4,4,2,0,1,6
SIMARDAHI,7,916,2,19,0,0,14,3
SINGYAHI,398,1049,0,6,1,1,3,14
SISAWAKATAIYA,15,1235,3,5,0,0,25,7
SONAMA,203,1312,2,1,1,0,0,10
SONAMAI,326,1314,2,8,2,0,0,10
SONAUL,6,563,0,5,1,1,120,1
SUGA VAWANI,1,983,1,0,0,0,0,40
SUNDARPUR,334,1967,1,4,3,1,1,2
VAGAHA,16,2160,0,205,0,0,4,14
TOTAL,15672,84969,221,6415,1292,374,1753,602
