VDC/MUNICIPALITY,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE
AGARA,7705,3763,3942,63,43,20,9,9,0,11,8,3,0,0,0,23,15,8,9,5,4,11,5,6,5,2,3
AMBHANJYANG,6729,3231,3498,64,45,19,20,14,6,32,15,17,2,0,2,29,11,18,8,3,5,6,3,3,16,8,8
BAJRABARAHI,7593,3578,4015,22,10,12,18,11,7,13,7,6,2,2,0,19,11,8,2,1,1,1,0,1,5,2,3
BASAMADI,16866,8205,8661,77,48,29,51,29,22,34,22,12,4,3,1,53,29,24,17,5,12,14,7,7,14,10,4
BETINI,3248,1617,1631,34,19,15,27,12,15,25,13,12,0,0,0,8,2,6,3,1,2,2,0,2,4,3,1
BHAISE,6568,3147,3421,55,35,20,26,14,12,33,11,22,0,0,0,16,10,6,4,3,1,7,4,3,8,4,4
BHARTA PUNDYADEVI,4103,2113,1990,14,5,9,17,6,11,14,8,6,4,2,2,10,6,4,0,0,0,0,0,0,7,3,4
BHIMFEDI,5362,2457,2905,23,17,6,15,11,4,7,3,4,1,1,0,17,5,12,12,7,5,0,0,0,3,2,1
BUDHICHAUR,2029,999,1030,28,22,6,4,3,1,10,7,3,3,1,2,7,5,2,2,2,0,0,0,0,2,2,0
CHITLANG,4887,2159,2728,44,29,15,29,12,17,24,10,14,1,1,0,10,7,3,16,8,8,9,6,3,9,5,4
CHURIYAMAI,13990,6701,7289,119,60,59,41,20,21,35,11,24,2,1,1,28,17,11,17,8,9,18,14,4,24,14,10
DAMAN,8324,4020,4304,54,30,24,10,4,6,12,1,11,0,0,0,15,8,7,5,1,4,5,2,3,14,8,6
DANDAKHARKA,3929,1974,1955,27,10,17,12,6,6,30,16,14,2,1,1,8,7,1,6,2,4,1,1,0,6,3,3
DHIYAL,5802,2853,2949,38,23,15,35,17,18,20,9,11,0,0,0,28,18,10,5,4,1,4,3,1,13,10,3
FAKHEL,4455,2067,2388,22,13,9,15,5,10,9,6,3,1,1,0,12,8,4,2,0,2,1,1,0,7,1,6
FAPARBARI,16392,7791,8601,130,69,61,79,36,43,64,37,27,3,2,1,44,23,21,25,12,13,9,5,4,30,16,14
GOGANE,5293,2571,2722,28,16,12,5,2,3,4,3,1,0,0,0,11,6,5,0,0,0,2,0,2,2,0,2
HANDIKHOLA,18009,8669,9340,144,77,67,83,39,44,60,37,23,7,5,2,51,29,22,24,12,12,9,5,4,28,17,11
HATIYA,12861,6237,6624,79,55,24,54,27,27,38,21,17,2,0,2,23,13,10,23,14,9,9,5,4,10,7,3
HETAUDA MUNICIPALITY,83419,41480,41939,492,302,190,239,118,121,141,72,69,7,6,1,127,76,51,95,52,43,68,41,27,83,47,36
HURNAMADI,6502,3140,3362,37,27,10,22,10,12,12,8,4,2,1,1,17,7,10,7,1,6,11,6,5,5,4,1
IPA PANCHAKANYA,2489,1252,1237,1,1,0,1,1,0,1,1,0,0,0,0,3,0,3,1,0,1,0,0,0,1,1,0
KALIKATAR,4548,2294,2254,39,21,18,85,42,43,22,11,11,7,3,4,16,8,8,2,1,1,2,2,0,2,2,0
KANKADA,7571,3813,3758,65,36,29,54,29,25,76,46,30,12,4,8,43,18,25,4,2,2,4,3,1,11,8,3
KHAIRANG,3334,1708,1626,11,6,5,2,1,1,5,4,1,2,1,1,5,4,1,25,16,9,1,0,1,4,4,0
KOGATE,1223,563,660,34,16,18,9,4,5,3,2,1,0,0,0,1,0,1,3,3,0,4,4,0,2,1,1
KULEKHANI,2902,1362,1540,21,11,10,13,7,6,13,8,5,0,0,0,8,5,3,3,3,0,4,2,2,5,3,2
MAKWANPURGADHI,12507,6024,6483,123,69,54,54,36,18,49,24,25,5,2,3,35,15,20,7,3,4,8,4,4,18,10,8
MANAHARI,19642,9450,10192,152,85,67,39,14,25,52,27,25,6,3,3,50,27,23,19,10,9,2,0,2,22,14,8
MANTHALI,2697,1316,1381,18,10,8,7,5,2,11,8,3,4,2,2,15,7,8,6,2,4,0,0,0,4,2,2
MARKHU,2952,1375,1577,41,27,14,28,18,10,19,15,4,2,1,1,14,9,5,6,4,2,7,3,4,2,0,2
NAMTAR,8608,4278,4330,70,41,29,37,18,19,39,25,14,1,0,1,12,8,4,7,3,4,19,12,7,23,10,13
NIBUWATAR,4173,1959,2214,27,17,10,5,2,3,19,11,8,2,0,2,13,8,5,8,3,5,5,2,3,7,4,3
PADAM POKHARI,16834,7847,8987,78,36,42,42,22,20,39,23,16,3,3,0,38,23,15,14,7,7,21,11,10,17,11,6
PALUNG,5513,2563,2950,24,15,9,18,10,8,22,18,4,0,0,0,14,9,5,6,2,4,2,1,1,4,1,3
RAIGAUN,9984,4766,5218,103,62,41,92,53,39,87,39,48,3,1,2,61,36,25,14,4,10,11,7,4,13,9,4
RAKSIRANG,6174,3053,3121,196,96,100,83,34,49,57,29,28,9,3,6,24,15,9,16,11,5,2,0,2,11,6,5
SARIKHET PALASE,8259,4087,4172,38,25,13,21,10,11,23,14,9,1,0,1,25,13,12,3,0,3,4,2,2,17,9,8
SHIKHARPUR,5764,2788,2976,38,18,20,24,6,18,22,14,8,5,1,4,10,6,4,5,4,1,4,1,3,24,13,11
SHREEPUR CHHATIWAN,20184,9638,10546,190,103,87,82,43,39,109,62,47,11,5,6,67,42,25,43,22,21,24,16,8,37,21,16
SISNERI MAHADEVSTHAN,3181,1515,1666,20,13,7,10,8,2,9,4,5,0,0,0,8,4,4,6,4,2,1,1,0,10,5,5
SUKAURA,3459,1691,1768,30,14,16,8,3,5,6,2,4,1,0,1,5,3,2,2,1,1,4,1,3,10,6,4
THINGAN,4219,2008,2211,14,10,4,3,1,2,7,6,1,0,0,0,19,9,10,1,0,1,6,2,4,1,1,0
TISTUNG DEURALI,6896,3324,3572,46,30,16,23,10,13,20,12,8,3,1,2,24,18,6,13,8,5,6,1,5,10,5,5
INSTITUTIONAL,4831,4562,269,23,21,2,2,2,0,2,1,1,0,0,0,11,9,2,5,4,1,2,2,0,0,0,0
