VDC/MUNICIPALITY,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE
AGARA,7104,3456,3648,4256,2377,1879,164,83,81,2682,996,1686,2,0,2,59.909909909909906,68.77893518518519,51.50767543859649
AMBHANJYANG,6357,3054,3303,4479,2380,2099,167,98,69,1710,575,1135,1,1,0,70.4577630957999,77.9305828421742,63.54828943384801
BAJRABARAHI,7057,3301,3756,4896,2580,2316,116,56,60,2040,663,1377,5,2,3,69.37792263001276,78.15813389881853,61.66134185303515
BASAMADI,15538,7547,7991,10617,5710,4907,412,202,210,4504,1632,2872,5,3,2,68.32925730467242,75.65920233205247,61.40658240520585
BETINI,3015,1496,1519,1900,1049,851,64,29,35,1050,418,632,1,0,1,63.018242122719734,70.12032085561498,56.023699802501646
BHAISE,6133,2948,3185,4129,2265,1864,79,39,40,1920,644,1276,5,0,5,67.32431110386435,76.83175033921302,58.5243328100471
BHARTA PUNDYADEVI,3538,1816,1722,1348,781,567,204,111,93,1983,922,1061,3,2,1,38.10062182023742,43.00660792951542,32.926829268292686
BHIMFEDI,5007,2293,2714,3584,1857,1727,126,60,66,1294,374,920,3,2,1,71.57978829638506,80.98560837331007,63.63301400147384
BUDHICHAUR,1844,914,930,1262,709,553,25,10,15,557,195,362,0,0,0,68.43817787418655,77.57111597374178,59.46236559139785
CHITLANG,4647,2047,2600,3019,1591,1428,96,53,43,1531,403,1128,1,0,1,64.96664514740694,77.72349780166097,54.92307692307692
