VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
BHRAKA,15,68,54,33,20,2,1,4,49,0,0,0,31,1,0
CHAME,24,255,102,77,125,23,12,74,228,0,2,3,70,0,0
DHARAPANI,14,218,121,126,88,3,1,4,187,0,0,4,62,2,0
FU,2,34,28,0,0,0,0,0,0,0,0,0,33,0,0
GHYARU,15,18,15,3,0,0,0,1,13,0,0,1,11,0,0
KHANGSAR,11,47,14,19,16,0,0,1,45,0,0,0,31,5,0
MANANG,6,119,79,69,56,5,4,10,106,0,0,6,57,5,6
NAR,0,86,84,4,0,0,0,0,2,0,0,1,67,0,0
NGAWAL,18,55,47,13,7,0,0,1,39,0,0,1,29,0,0
PISANG,30,75,70,30,28,2,0,3,42,0,0,7,10,0,0
TACHAI BAGARCHHAP,17,103,60,52,40,0,0,8,87,0,0,5,33,0,0
TANKI MANANG,15,95,65,17,29,2,1,2,80,0,0,1,65,1,0
THOCHE,10,91,42,33,23,3,0,8,85,0,0,0,27,0,1
