VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
AMAHIBARIYATI,10,106,9,1284,0,15,8
AMARDAHA,31,251,289,2505,3,21,16
AMGACHHI,14,81,14,1057,2,9,2
BABIYA BIRTA,156,306,201,2576,3,9,11
BAHUNI,20,293,280,2186,3,17,11
BAIJANATHPUR,16,232,108,844,0,5,15
BANIGAMA,53,490,31,1531,1,12,3
BARADANGA,43,150,23,1986,11,7,10
BAYARBAN,31,504,1024,3035,2,20,20
BELBARI,44,2062,800,2746,2,33,37
BHAUDAHA,8,97,7,1278,2,3,6
BHOGATENI,35,16,512,529,1,3,17
BIRATNAGAR SUB-METROPOLITAN CITY,2092,31277,1209,9382,50,413,708
BUDHANAGAR,41,174,27,2346,3,70,38
DADARBAIRIYA,10,183,12,1489,0,5,3
DAINIYA,124,283,72,2411,1,7,16
DANGIHAT,88,1188,729,2954,3,18,33
DANGRAHA,24,169,3,1103,4,8,2
DRABESH,18,396,489,2711,4,10,11
DULARI,89,1389,107,1598,2,8,3
GOVINDAPUR,58,275,111,2904,6,12,9
HARAICHA,6,301,64,1085,0,20,6
HASANDAHA,21,221,273,1998,2,7,8
HATHIMUDHA,26,574,25,1576,0,1,4
HOKLABARI,18,115,110,820,2,53,3
INDRAPUR,169,3427,446,2213,3,27,58
ITAHARA,31,379,854,2139,9,149,11
JANTE,8,114,1021,717,1,3,1
JHORAHAT,12,220,36,960,0,21,5
JHURKIYA,22,136,57,2363,5,17,5
KASENI,6,222,86,1436,1,26,14
KATAHARI,200,1484,44,3129,6,17,15
KADMAHA,25,146,11,1327,0,2,6
KERABARI,21,349,2213,1552,2,9,21
KEROUN,19,288,397,2162,1,46,13
LAKHANTARI,7,61,1,889,0,1,4
LETANG,190,1003,1087,2056,2,4,17
MADHUMALLA,64,759,1046,2971,9,67,11
MAHADEWA,9,44,12,1058,1,2,9
MAJHARE,19,90,2,1928,6,5,2
MATIGACHHA,38,136,25,2377,1,18,8
MOTIPUR,43,96,5,1055,1,3,6
MRIGAULIYA,63,963,238,1967,2,20,24
NECHA,2,71,0,751,1,2,5
PATHARI,52,1995,771,2794,11,23,78
PATIGAUN,258,15,110,92,0,1,2
POKHARIYA,2,42,4,634,0,0,0
RAJGHAT,44,541,711,1487,0,4,16
RAMITE KHOLA,196,12,157,241,0,7,5
RANGELI,16,686,52,2389,8,11,7
SANISCHARE,13,799,907,3921,4,24,34
SIDHARAHA,2,74,0,850,0,2,6
SIJUWA,94,391,334,1721,3,14,2
SINHADEVI SOMBARE,415,10,25,116,0,0,0
SISABANIBADAHARA,4,117,4,1061,0,3,8
SISAWANIJAHADA,175,107,21,1276,2,4,1
SORABHAG,206,369,8,1868,3,13,7
SUNDARPUR,196,1441,371,2196,3,35,70
TAKUWA,12,223,20,1507,1,2,6
TANDI,54,36,953,1026,1,11,5
TANKISINUWARI,154,2325,103,2195,1,53,74
TETARIYA,11,257,13,1151,0,1,6
THALAHA,21,102,17,1548,0,23,2
URLABARI,127,4275,1399,2302,6,27,29
WARANGI,191,0,102,345,0,32,9
YANGSHILA,79,46,775,520,5,22,4
TOTAL,6346,64984,20967,118224,206,1537,1606
