VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
AMAHIBARIYATI,1429,1,1,1
AMARDAHA,2996,38,3,79
AMGACHHI,1172,4,0,3
BABIYA BIRTA,3159,26,3,74
BAHUNI,2641,44,61,64
BAIJANATHPUR,1191,24,2,3
BANIGAMA,2067,37,2,15
BARADANGA,2206,19,0,5
BAYARBAN,4288,166,8,174
BELBARI,4836,734,43,111
BHAUDAHA,1372,3,4,22
BHOGATENI,1081,21,3,8
BIRATNAGAR SUB-METROPOLITAN CITY,30198,13502,937,494
BUDHANAGAR,2665,1,3,30
DADARBAIRIYA,1685,2,0,15
DAINIYA,2874,24,2,14
DANGIHAT,4626,264,4,119
DANGRAHA,1288,3,1,21
DRABESH,3541,79,2,17
DULARI,2770,331,7,88
GOVINDAPUR,3316,17,2,40
HARAICHA,1380,62,2,38
HASANDAHA,2411,40,0,79
HATHIMUDHA,1980,141,56,29
HOKLABARI,1094,14,1,12
INDRAPUR,5276,950,22,95
ITAHARA,3245,176,7,144
JANTE,1757,80,4,24
JHORAHAT,1193,38,15,8
JHURKIYA,2550,19,8,28
KASENI,1709,6,4,72
KATAHARI,4480,296,44,75
KADMAHA,1513,2,0,2
KERABARI,3794,258,5,110
KEROUN,2803,34,1,88
LAKHANTARI,959,0,3,1
LETANG,3743,534,9,73
MADHUMALLA,4503,290,6,128
MAHADEWA,1134,0,1,0
MAJHARE,2036,0,12,4
MATIGACHHA,2589,5,0,9
MOTIPUR,1198,8,1,2
MRIGAULIYA,2965,201,2,109
NECHA,809,6,1,16
PATHARI,4668,949,5,102
PATIGAUN,440,12,2,24
POKHARIYA,681,0,0,1
RAJGHAT,2425,97,3,278
RAMITE KHOLA,610,2,0,6
RANGELI,2991,133,25,20
SANISCHARE,5408,195,6,93
SIDHARAHA,930,1,0,3
SIJUWA,2430,98,1,30
SINHADEVI SOMBARE,537,20,0,9
SISABANIBADAHARA,1182,4,3,8
SISAWANIJAHADA,1574,2,0,10
SORABHAG,2357,70,35,12
SUNDARPUR,3855,331,13,113
TAKUWA,1731,1,0,39
TANDI,2048,25,1,12
TANKISINUWARI,3663,812,250,180
TETARIYA,1399,22,7,11
THALAHA,1699,3,1,10
URLABARI,6366,1645,37,117
WARANGI,671,4,0,4
YANGSHILA,1384,33,0,34
TOTAL,185571,22959,1681,3659
