VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
BHIYEE,222,0,0,0,0,0,0,1
DHAINAKOT,423,0,0,0,0,0,0,4
DOLPHU,91,0,0,0,0,0,0,0
GUMTHA,430,0,0,0,0,0,0,3
HYANGLU,335,0,0,0,0,0,0,3
JIMA,494,0,1,0,0,0,0,0
KARKIBADA,657,0,0,0,0,0,0,5
KIMRI,114,0,0,0,0,0,0,0
KOT DANDA,301,0,0,0,0,0,0,0
MANGRI,452,0,0,0,0,0,0,3
MUGU,153,0,0,0,0,0,0,0
NATHARPU,276,0,0,0,0,0,0,2
PHOTU,245,0,0,0,0,0,0,0
PINA,661,0,0,0,0,0,0,11
PULU,215,0,0,0,0,0,0,1
RARA,241,0,0,0,0,0,0,1
KALAI,243,0,0,0,0,0,0,22
ROWA,754,1,0,0,2,0,0,3
RUGA,706,0,0,0,2,0,0,1
KHAMALE,287,0,0,0,0,0,0,5
SERI,382,0,0,0,0,0,0,2
SHREEKOT,641,0,0,0,0,0,0,3
SHREENAGAR,755,1,3,0,1,0,0,12
SUKADHIK,402,0,0,0,0,0,0,27
TOTAL,9480,2,4,0,5,0,0,109
