VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
BHIYEE,221,0,0,0,0,1,1
DHAINAKOT,420,0,0,0,0,1,6
DOLPHU,91,0,0,0,0,0,0
GUMTHA,426,1,0,0,0,0,6
HYANGLU,335,0,0,0,0,0,3
JIMA,491,4,0,0,0,0,0
KARKIBADA,614,7,27,0,0,1,13
KIMRI,114,0,0,0,0,0,0
KOT DANDA,301,0,0,0,0,0,0
MANGRI,381,0,0,0,0,63,11
MUGU,153,0,0,0,0,0,0
NATHARPU,274,0,0,0,0,1,3
PHOTU,244,0,0,0,0,0,1
PINA,660,3,0,0,0,0,9
PULU,211,1,2,0,0,0,2
RARA,238,1,1,0,0,0,2
KALAI,241,0,1,0,0,0,23
ROWA,743,7,0,0,0,1,9
RUGA,705,1,0,1,0,1,1
KHAMALE,281,2,0,0,0,1,8
SERI,380,0,1,0,0,0,3
SHREEKOT,635,6,0,0,0,0,3
SHREENAGAR,678,74,2,0,0,3,15
SUKADHIK,401,0,1,0,0,0,27
TOTAL,9238,107,35,1,0,73,146
