VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
CHARANG,0,4,3,124,0,0,0,1
CHHONHUP,0,2,0,198,0,0,2,0
CHHOSER,19,0,0,139,0,0,0,0
CHHUSANG,160,2,6,0,0,0,0,0
GHAMI,35,0,0,131,0,0,1,2
JHONG,80,0,3,0,0,1,0,1
JOMSOM,207,24,186,0,0,9,0,4
KAGBENI,117,8,149,0,0,0,0,0
KOBANG,190,0,8,0,0,0,0,0
KUNJO,168,1,2,0,0,0,0,3
LETE,178,1,39,1,0,2,0,1
LOMANTHANG,0,0,8,162,0,0,0,2
MARPHA,274,2,135,0,0,2,0,1
MUKTINATH,142,6,47,0,0,3,0,0
SURKHANG,31,0,1,71,0,0,0,0
TUKUCHE,184,2,12,0,0,7,0,1
TOTAL,1785,52,599,826,0,24,3,16
