VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
CHARANG,0,0,0,0,0,130,0,2
CHHONHUP,0,1,0,1,0,199,0,1
CHHOSER,0,1,0,0,0,155,1,1
CHHUSANG,3,2,0,0,0,161,1,1
GHAMI,1,0,0,0,0,166,0,2
JHONG,0,1,1,0,0,81,0,2
JOMSOM,1,31,1,0,1,392,0,4
KAGBENI,8,9,0,8,0,249,0,0
KOBANG,10,28,5,1,1,153,0,0
KUNJO,1,39,5,1,13,111,1,3
LETE,0,65,66,7,4,58,20,2
LOMANTHANG,0,0,2,0,0,168,0,2
MARPHA,2,4,3,5,1,393,0,6
MUKTINATH,0,2,0,2,0,194,0,0
SURKHANG,0,5,0,0,0,98,0,0
TUKUCHE,5,4,0,1,0,194,0,2
TOTAL,31,192,83,26,20,2902,23,28
