VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
ARMAN,830,0,4,1,95,10,8,0
ARTHUNGE,2981,3,24,13,140,1,14,6
BABIYACHAUR,780,0,0,19,8,7,4,1
BEGKHOLA,318,0,8,48,14,12,1,1
BARANJA,1026,0,54,10,37,3,8,0
BHAKIMLI,697,0,0,0,38,2,0,2
BIM,412,0,0,1,3,1,0,2
CHIMKHOLA,343,0,0,15,1,1,0,0
DAGNAM,257,0,0,0,29,2,0,1
DANA,440,0,0,6,11,26,1,0
DARWANG,878,0,0,2,18,1,0,5
DEVISTHAN,695,0,9,14,33,0,0,0
GHATAN,1056,0,2,16,47,0,15,1
DOWA,290,0,0,3,0,1,0,0
GURJA KHANI,208,0,0,0,0,0,0,0
HISTHAN MANDALI,475,0,1,2,5,8,0,1
JHIN,264,0,0,3,15,5,0,1
JYAMRUNGKOT,804,0,1,10,63,6,0,0
KUHUN,804,0,0,8,21,9,0,1
KUINEMANGALE,199,0,5,0,34,0,0,1
LULANG,251,0,0,0,51,18,0,1
MALKWANG,264,0,1,22,0,7,0,0
MARANG,205,0,6,18,65,122,0,0
MUDI,386,0,1,16,93,52,0,1
MUNA,420,2,0,12,97,25,0,7
NARCHYANG,440,0,0,2,0,0,0,14
NISKOT,423,1,6,4,10,6,17,1
OKHARBOT,348,0,1,66,85,4,0,0
PAKHAPANI,489,0,0,9,66,9,0,0
PATLEKHET,338,0,0,7,111,1,0,1
PULACHAUR,725,0,2,7,112,0,0,0
RAKHU BHAGAWATI,773,0,0,1,147,6,0,5
RAKHUPIPLE,866,0,4,15,89,40,0,1
RAMCHE,409,0,3,2,46,0,0,0
RATNECHAUR,578,0,0,4,39,1,0,0
ROOM,725,0,1,136,370,13,2,7
SHIKHA,603,0,2,2,12,1,0,1
SINGA,778,0,0,0,6,0,0,0
TAKAM,619,0,1,25,225,5,1,2
BHURUNG TATOPANI,213,0,0,0,3,0,0,0
GHAR,628,0,0,8,25,5,5,6
TOTAL,24238,6,136,527,2264,410,76,70
