VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
ARMAN,762,959,653,706,102,244,7,9
ARTHUNGE,2270,2178,1910,1663,343,486,17,29
BABIYACHAUR,604,734,471,508,106,171,27,55
BEGKHOLA,251,325,173,192,65,117,13,16
BARANJA,976,1137,795,798,174,331,7,8
BHAKIMLI,551,738,451,503,87,217,13,18
BIM,370,418,307,300,63,115,0,3
CHIMKHOLA,224,268,154,167,39,67,31,34
DAGNAM,177,231,138,156,35,73,4,2
DANA,332,374,218,230,109,141,5,3
DARWANG,700,792,543,556,152,230,5,6
DEVISTHAN,694,808,521,508,171,295,2,5
GHATAN,784,925,664,674,110,225,10,26
DOWA,166,196,109,117,44,67,13,12
GURJA KHANI,176,203,138,137,30,59,8,7
HISTHAN MANDALI,224,293,165,202,57,89,2,2
JHIN,192,234,152,161,36,63,4,10
JYAMRUNGKOT,597,725,500,528,92,194,5,3
KUHUN,570,701,466,502,99,189,5,10
KUINEMANGALE,205,215,158,129,46,82,1,4
LULANG,309,331,246,233,60,94,3,4
MALKWANG,231,279,171,183,56,94,4,2
MARANG,346,414,277,269,65,140,4,5
MUDI,501,522,321,306,174,214,6,2
MUNA,415,531,321,380,89,145,5,6
NARCHYANG,259,280,202,195,56,85,1,0
NISKOT,466,564,328,343,90,164,48,57
OKHARBOT,448,568,323,347,82,164,43,57
PAKHAPANI,371,515,253,325,110,178,8,12
PATLEKHET,296,365,244,260,50,101,2,4
PULACHAUR,564,742,480,536,83,202,1,4
RAKHU BHAGAWATI,607,730,502,510,86,206,19,14
RAKHUPIPLE,705,860,546,582,146,264,13,14
RAMCHE,246,266,191,170,43,81,12,15
RATNECHAUR,339,445,301,309,37,134,1,2
ROOM,1260,1527,958,1023,279,453,23,51
SHIKHA,340,347,252,242,87,102,1,3
SINGA,567,698,484,509,73,185,10,4
TAKAM,676,878,510,565,144,281,22,32
BHURUNG TATOPANI,159,112,110,75,38,33,11,4
GHAR,395,508,304,338,82,154,9,16
INSTITUTIONAL,694,145,389,131,302,12,3,2
