VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
AGRYOULI,352,1171,550,668,4,0,0,5
AMARAPURI,1676,28,149,93,12,1,5,15
AMRAUT,228,680,5,4,0,0,0,4
BADAHARA DUBAULIYA,7,1219,0,3,1,0,2,19
BAIDAULI,473,395,0,1,0,0,33,4
BANJARIYA,10,1167,2,38,3,0,0,4
BENIMANIPUR,442,978,137,350,29,12,13,10
BHARATIPUR,466,0,2,165,27,8,0,2
BHUJAHAWA,14,1064,2,2,1,0,1,4
BULINGTAR,544,0,0,31,177,2,0,2
DADAJHERI TADI,370,0,38,0,8,5,0,1
DAWANNE DEVI,615,2231,29,21,1,0,32,21
DEDGAUN,628,0,14,8,95,3,0,2
DEURALI,2672,0,1,245,28,13,9,7
DEVACHULI,1429,1,2,14,2,8,0,2
DEVAGAWA,4,921,0,0,0,0,1,1
DHAUBADI,1001,0,0,26,13,3,0,18
DHURKOT,439,41,80,149,224,38,2,7
DIBYAPURI,1138,288,500,247,34,5,9,26
DUMKIBAS,842,1217,120,136,53,1,5,5
GAIDAKOT,5955,758,869,363,20,13,15,29
GAIRAMI,255,740,4,1,1,0,0,5
GUTHI PARSAUNI,9,1191,0,0,0,0,32,16
GUTHISURYAPURA,219,577,0,1,1,0,22,7
HAKUI,24,984,1,1,0,0,16,18
HARPUR,30,1049,1,0,1,1,0,4
HUPSEKOT,464,0,21,54,0,2,1,10
JAHADA,20,1650,0,1,1,0,14,12
JAMUNIYA,29,1641,6,5,1,0,4,12
JAUBARI,663,0,2,2,1,7,1,4
KAWASWOTI,1432,776,286,285,45,0,29,17
KOLHUWA,107,1139,175,353,1,3,147,11
KOTATHAR,456,0,21,19,4,2,0,1
KUDIYA,15,1756,1,4,0,0,3,10
KUMARWARTI,171,771,80,82,73,0,42,19
KUSMA,15,1053,1,1,0,0,0,9
MAINAGHAT,563,44,6,88,13,22,0,0
MAKAR,2821,2675,12,45,4,6,56,20
MANARI,262,799,0,3,0,0,5,5
MITHUKARAM,389,0,1,33,78,0,0,2
MUKUNDAPUR,529,1167,1054,177,1,2,76,17
NARAM,451,0,4,40,4,3,0,0
NARAYANI,523,540,238,631,21,2,24,12
NARSAHI,224,692,1,1,0,0,27,8
NAYA BELHANI,1265,644,389,535,5,4,37,6
PAKALIHAWA,11,1629,1,0,0,0,2,13
PALHI,31,908,0,0,0,0,0,0
PANCHANAGAR,821,1294,4,20,2,0,8,7
PARSAUNI,715,303,84,239,34,0,1,12
PITHAULI,436,965,142,276,3,2,23,4
PRAGATINAGAR,2696,97,77,221,4,0,13,17
PRATAPPUR,16,1206,30,1,0,0,0,5
RAJAHAR,1533,25,266,222,368,3,0,9
RAKACHULI,506,0,11,144,112,30,10,6
RAKUWA,369,0,3,72,6,36,0,0
RAMGRAM MUNICIPALITY,1501,3363,47,1,2,4,16,38
RAMNAGAR,2022,1172,3,0,12,0,40,66
RAMPUR KHADAUNA,0,704,0,2,0,0,1,10
RAMPURKHA,173,648,0,0,0,0,1,0
RATANAPUR,514,0,0,47,10,6,20,2
RUCHANG,512,0,0,19,9,1,0,0
RUPAULIYA,528,1202,2,1,0,0,6,8
SANAI,3,1157,0,0,0,0,0,6
SARAWAL,247,708,8,1,1,0,0,18
SHIVMANDIR,5071,6,48,46,191,1,2,30
SOMANI,23,1084,0,0,1,0,19,16
SUKRAULI,4,968,0,0,0,0,3,2
SUNWAL,1663,4681,18,12,87,3,57,16
SWATHI,35,2045,0,5,1,1,13,2
TAMASARIYA,883,454,839,169,77,1,0,3
THULO KHAIRATAWA,80,641,0,1,3,0,17,4
TILAKPUR,36,1392,3,1,0,0,84,4
TRIBENISUSTA,504,1350,75,1,62,20,1,16
UPALLO ARKHALE,655,0,7,9,0,0,1,0
TOTAL,51829,60049,6472,6436,1972,274,1001,727
