VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
AGRYOULI,2538,186,13,13
AMARAPURI,1674,259,21,25
AMRAUT,914,2,1,4
BADAHARA DUBAULIYA,1223,0,0,28
BAIDAULI,895,2,4,5
BANJARIYA,1209,14,0,1
BENIMANIPUR,1893,40,0,38
BHARATIPUR,660,8,0,2
BHUJAHAWA,1085,2,1,0
BULINGTAR,729,19,5,3
DADAJHERI TADI,420,0,2,0
DAWANNE DEVI,2863,60,2,25
DEDGAUN,707,25,0,18
DEURALI,2799,112,3,61
DEVACHULI,1382,58,1,17
DEVAGAWA,925,1,1,0
DHAUBADI,1036,16,3,6
DHURKOT,969,7,1,3
DIBYAPURI,1907,288,41,11
DUMKIBAS,2105,229,20,25
GAIDAKOT,5723,2156,115,28
GAIRAMI,1003,3,0,0
GUTHI PARSAUNI,1246,1,0,1
GUTHISURYAPURA,818,1,7,1
HAKUI,1026,6,2,10
HARPUR,1074,4,0,8
HUPSEKOT,547,3,2,0
JAHADA,1650,32,1,15
JAMUNIYA,1624,54,13,7
JAUBARI,663,16,1,0
KAWASWOTI,2428,411,12,19
KOLHUWA,1871,51,0,14
KOTATHAR,494,8,0,1
KUDIYA,1778,7,1,3
KUMARWARTI,1132,23,12,71
KUSMA,1057,19,3,0
MAINAGHAT,722,12,1,1
MAKAR,4813,738,27,61
MANARI,1066,7,0,1
MITHUKARAM,496,4,1,2
MUKUNDAPUR,2614,359,28,22
NARAM,479,7,5,11
NARAYANI,1942,41,0,8
NARSAHI,945,8,0,0
NAYA BELHANI,2466,368,10,41
PAKALIHAWA,1644,7,0,5
PALHI,929,2,2,6
PANCHANAGAR,2051,101,0,4
PARSAUNI,1354,25,0,9
PITHAULI,1763,55,3,30
PRAGATINAGAR,2755,345,5,20
PRATAPPUR,1242,8,1,7
RAJAHAR,2191,209,9,17
RAKACHULI,806,5,2,6
RAKUWA,474,9,0,3
RAMGRAM MUNICIPALITY,4325,542,68,37
RAMNAGAR,2985,303,4,23
RAMPUR KHADAUNA,717,0,0,0
RAMPURKHA,784,32,5,1
RATANAPUR,594,2,2,1
RUCHANG,532,7,1,1
RUPAULIYA,1724,21,1,1
SANAI,1160,3,0,3
SARAWAL,973,3,1,6
SHIVMANDIR,4457,848,27,63
SOMANI,1140,2,0,1
SUKRAULI,972,3,2,0
SUNWAL,5757,687,32,61
SWATHI,1996,82,10,14
TAMASARIYA,2184,226,7,9
THULO KHAIRATAWA,745,0,1,0
TILAKPUR,1423,85,1,11
TRIBENISUSTA,1857,72,22,78
UPALLO ARKHALE,662,7,3,0
TOTAL,117806,9358,569,1027
