VDC/MUNICIPALITY,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO
TOTAL,59215,277471,132787,144684,4.685822848940302,91.77725249509275
BAGESWORI,1073,4986,2382,2604,4.646784715750233,91.47465437788019
BALKUMARI,496,2486,1230,1256,5.012096774193548,97.92993630573248
BARSUNCHET,118,426,181,245,3.610169491525424,73.87755102040816
BELKOT,1549,7660,3723,3937,4.945125887669464,94.56438912877826
BETINI,873,4372,2178,2194,5.008018327605956,99.27073837739289
BHADRUTAR,705,3238,1569,1669,4.5929078014184395,94.00838825644098
BHALCHE,754,3488,1625,1863,4.625994694960212,87.22490606548577
BIDUR MUNICIPALITY,6270,26750,12712,14038,4.2663476874003186,90.5542100014247
BUDHASING,677,2945,1344,1601,4.350073855243722,83.94753279200499
BUNGTANG,599,2117,921,1196,3.5342237061769617,77.0066889632107
CHARGHARE,1190,5419,2478,2941,4.553781512605042,84.2570554233254
CHATURALE,708,3238,1559,1679,4.573446327683616,92.85288862418106
CHAUGHADA,1164,5480,2519,2961,4.707903780068729,85.0726106045255
CHAUTHE,697,3535,1780,1755,5.071736011477761,101.42450142450143
CHHAP,448,2085,1005,1080,4.654017857142857,93.05555555555556
DANGSING,625,2736,1239,1497,4.3776,82.76553106212425
DEURALI,1005,3656,1632,2024,3.637810945273632,80.63241106719367
DUIPIPAL,1569,7790,3701,4089,4.964945825366476,90.5111274150159
FIKURI,636,2873,1371,1502,4.517295597484277,91.27829560585884
GANESHTHAN,807,3728,1818,1910,4.619578686493185,95.18324607329843
GAUNKHARKA,628,3180,1573,1607,5.063694267515924,97.88425637834474
GERKHU,1421,6382,2888,3494,4.4912033779028855,82.65598168288494
GHYANGPHEDI,604,3100,1692,1408,5.132450331125828,120.17045454545455
GORSYANG,772,3431,1520,1911,4.444300518134715,79.53950811093668
JILING,1271,6286,2992,3294,4.945712037765539,90.83181542197936
KABILAS,863,4063,2002,2061,4.707995365005794,97.13731198447356
KAKANI,1390,7320,3621,3699,5.266187050359712,97.89132197891321
HALDE KALIKA,753,3606,1756,1850,4.788844621513944,94.91891891891892
KALYANPUR,1243,5722,2607,3115,4.603378921962992,83.69181380417335
KAULE,739,2993,1346,1647,4.050067658998647,81.72434729811779
KHADAG BHANJYANG,1412,6166,2738,3428,4.3668555240793205,79.87164527421237
KHARANITAR,375,1609,779,830,4.290666666666667,93.855421686747
KHANIGAUN,1210,5330,2406,2924,4.404958677685951,82.28454172366622
KIMTANG,459,1976,917,1059,4.3050108932461875,86.59112370160528
KUMARI,1618,8672,4263,4409,5.359703337453647,96.68859151735087
LACHYANG,876,4480,2238,2242,5.114155251141552,99.82158786797503
LIKHU,557,2462,1110,1352,4.420107719928187,82.10059171597634
MADANPUR,1738,8862,4294,4568,5.098964326812428,94.00175131348512
MAHAKALI,788,3524,1629,1895,4.472081218274112,85.96306068601584
MANAKAMANA,789,3321,1537,1784,4.2091254752851714,86.15470852017937
NARJAMANDAP,1012,5335,2656,2679,5.271739130434782,99.14147069802165
OKHARPAUWA,1510,7901,3970,3931,5.232450331125828,100.99211396591198
PANCHAKANYA,544,2675,1321,1354,4.917279411764706,97.56277695716395
RALUKADEVI,916,4563,2299,2264,4.9814410480349345,101.54593639575972
RATMATE,822,3793,1769,2024,4.614355231143552,87.40118577075098
RAUTBESI,654,3437,1731,1706,5.255351681957187,101.4654161781946
SALME,422,2186,1063,1123,5.180094786729858,94.65716829919857
SAMARI,1207,5304,2408,2896,4.394366197183099,83.14917127071824
SAMUNDRADEVI,700,3053,1440,1613,4.361428571428571,89.27464352138873
SAMUNDRATAR,450,1997,926,1071,4.437777777777778,86.46125116713353
SHIKHARBESI,746,3534,1815,1719,4.737265415549598,105.58464223385688
SIKRE,370,1582,705,877,4.275675675675676,80.38768529076397
SUNDARADEVI,511,2411,1207,1204,4.7181996086105675,100.24916943521596
SUNKHANI,533,2449,1197,1252,4.594746716697936,95.6070287539936
SURYAMATI,692,3654,1717,1937,5.280346820809249,88.64223025296852
TALAKHU,688,2976,1402,1574,4.325581395348837,89.07242693773824
TARUKA,1127,5233,2335,2898,4.643300798580301,80.5728088336784
THANAPATI,626,2831,1363,1468,4.522364217252396,92.8474114441417
THANSING,1388,6126,2899,3227,4.413544668587896,89.83576076851566
THAPREK,760,3942,1902,2040,5.186842105263158,93.23529411764706
TUPCHE,1279,5286,2401,2885,4.132916340891321,83.22357019064125
URLENI,768,4014,2036,1978,5.2265625,102.93225480283115
