VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
BAGESWORI,5,914,140,9,0,0,0,5
BALKUMARI,131,353,7,0,0,0,0,5
BARSUNCHET,19,89,9,1,0,0,0,0
BELKOT,7,1037,491,5,2,0,0,7
BETINI,112,746,5,0,0,0,1,9
BHADRUTAR,119,349,233,0,0,0,0,4
BHALCHE,26,649,9,6,50,0,0,14
BIDUR MUNICIPALITY,60,4383,54,1634,6,3,6,124
BUDHASING,20,357,284,0,0,0,0,16
BUNGTANG,3,564,6,2,8,0,0,16
CHARGHARE,7,1111,49,16,0,0,0,7
CHATURALE,65,389,230,2,0,0,0,22
CHAUGHADA,27,958,159,11,0,0,1,8
CHAUTHE,14,584,80,6,0,0,0,13
CHHAP,39,352,42,0,0,0,0,15
DANGSING,11,201,408,1,0,0,0,4
DEURALI,11,949,6,29,5,0,0,5
DUIPIPAL,13,824,688,18,1,0,0,25
FIKURI,18,590,3,11,1,0,0,13
GANESHTHAN,19,720,47,4,0,0,0,17
GAUNKHARKA,20,598,3,0,1,0,0,6
GERKHU,14,1347,16,34,0,0,0,10
GHYANGPHEDI,15,448,2,1,111,0,3,24
GORSYANG,16,113,629,5,0,0,0,9
JILING,38,971,101,2,3,0,0,156
KABILAS,59,441,340,4,0,0,0,19
KAKANI,45,967,252,73,0,0,32,21
HALDE KALIKA,13,650,80,0,0,0,0,10
KALYANPUR,27,1098,83,12,2,1,6,14
KAULE,12,703,0,8,11,0,0,5
KHADAG BHANJYANG,3,919,428,46,0,0,0,16
KHARANITAR,23,120,220,5,0,0,0,7
KHANIGAUN,7,1126,3,63,3,0,1,7
KIMTANG,6,408,0,1,0,0,0,44
KUMARI,57,1096,433,1,0,0,1,30
LACHYANG,124,481,264,0,0,0,0,7
LIKHU,44,427,81,0,0,0,0,5
MADANPUR,51,1197,449,22,0,0,0,19
MAHAKALI,144,485,159,0,0,0,0,0
MANAKAMANA,12,760,0,5,1,0,0,11
NARJAMANDAP,76,554,356,8,0,0,3,15
OKHARPAUWA,45,1312,38,74,1,0,0,40
PANCHAKANYA,41,77,423,0,0,0,0,3
RALUKADEVI,167,557,187,4,0,0,0,1
RATMATE,13,539,232,33,0,0,0,5
RAUTBESI,48,596,5,0,0,0,1,4
SALME,3,412,2,0,0,0,0,5
SAMARI,10,1142,9,32,0,0,0,14
SAMUNDRADEVI,114,513,69,0,0,0,0,4
SAMUNDRATAR,34,401,8,3,0,0,0,4
SHIKHARBESI,175,569,0,0,0,0,0,2
SIKRE,45,303,20,0,0,0,0,2
SUNDARADEVI,105,374,25,5,0,0,1,1
SUNKHANI,46,472,12,1,1,0,0,1
SURYAMATI,24,649,10,0,0,0,0,9
TALAKHU,74,576,24,11,0,0,1,2
TARUKA,46,309,756,4,1,0,0,11
THANAPATI,25,547,52,1,1,0,0,0
THANSING,51,893,407,27,0,0,0,10
THAPREK,48,481,224,0,0,0,0,7
TUPCHE,22,1206,4,33,0,0,0,14
URLENI,145,352,261,0,0,0,3,7
TOTAL,2813,43308,9617,2273,209,4,60,910
