VDC/MUNICIPALITY,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO
TOTAL,32502,147984,68687,79297,4.553073657005723,86.61992256958018
ANDHERI NARAYANSTHAN,607,2390,1053,1337,3.937397034596376,78.7584143605086
BAKSA,546,2177,954,1223,3.9871794871794872,78.00490596892887
BALAKHU,835,3987,1894,2093,4.774850299401198,90.4921165790731
BARNALU,694,2846,1283,1563,4.100864553314121,82.08573256557902
BARUNESHWOR,809,3388,1576,1812,4.187886279357231,86.9757174392936
BETINI,459,2106,931,1175,4.588235294117647,79.23404255319149
BHADAURE,563,2999,1359,1640,5.326820603907637,82.86585365853658
BHUSSINGA,322,1582,790,792,4.913043478260869,99.74747474747475
BIGUTAR,533,2157,999,1158,4.046904315196998,86.26943005181347
BILANDU,484,2311,1080,1231,4.774793388429752,87.73354995938261
CHYANAM,619,2763,1250,1513,4.463651050080776,82.61731658955716
DIYALE,514,2236,1027,1209,4.3501945525291825,84.94623655913979
FEDIGUTH,769,3637,1702,1935,4.729518855656697,87.95865633074935
FULBARI,776,3544,1619,1925,4.56701030927835,84.1038961038961
GAMNANGTAR,599,2943,1392,1551,4.913188647746244,89.74854932301741
HARKAPUR,614,2578,1178,1400,4.198697068403908,84.14285714285714
JANTARKHANI,388,1762,755,1007,4.541237113402062,74.97517378351539
JYAMIRE,545,2126,915,1211,3.9009174311926604,75.55739058629231
KALIKADEVI,417,2036,919,1117,4.882494004796163,82.27394807520143
KHIGIKATI,352,1628,740,888,4.625,83.33333333333334
KATUNJE,926,4229,2002,2227,4.56695464362851,89.89672204759766
KETUKE,675,2884,1313,1571,4.272592592592592,83.57733927434755
KHIJI CHANDESHWORI,275,1293,618,675,4.701818181818182,91.55555555555556
KHIJIFALATE,706,3493,1665,1828,4.947592067988668,91.08315098468272
KUIBHIR,409,1724,780,944,4.215158924205379,82.62711864406779
KUNTADEVI,583,2417,1100,1317,4.145797598627787,83.52315869400152
MADHAVPUR,500,2467,1108,1359,4.934,81.53053715967623
MAMKHA,727,3157,1435,1722,4.342503438789546,83.33333333333334
MANEBHANJYANG,623,3079,1464,1615,4.942215088282504,90.6501547987616
MOLI,409,1901,833,1068,4.647921760391198,77.99625468164794
MULKHARKA,748,3405,1485,1920,4.552139037433155,77.34375
NARMEDESHWOR,322,1519,652,867,4.717391304347826,75.20184544405998
OKHALDHUNGA,1358,4963,2407,2556,3.654639175257732,94.17057902973396
PALAPU,946,5231,2377,2854,5.529598308668076,83.28661527680448
PALTE,719,3514,1718,1796,4.887343532684284,95.65701559020044
POKALI,643,3028,1477,1551,4.709175738724728,95.22888459058672
POKHARE,331,1439,662,777,4.347432024169184,85.19948519948521
PRAPCHA,271,1226,560,666,4.523985239852398,84.08408408408408
RAGADEEP,455,2039,955,1084,4.481318681318681,88.09963099630997
RAGANI,748,3701,1789,1912,4.947860962566845,93.56694560669456
RANIBAN,404,1854,824,1030,4.589108910891089,80
RATMATA,447,2197,1041,1156,4.914988814317673,90.05190311418684
RAWADOLU,337,1553,740,813,4.6083086053412465,91.02091020910208
RUMJATAR,751,2707,1216,1491,3.604527296937417,81.55600268276325
SALLERI,419,1664,721,943,3.971360381861575,76.45811240721103
SERNA,343,1444,664,780,4.209912536443149,85.12820512820512
SHREECHAUR,581,2856,1326,1530,4.9156626506024095,86.66666666666667
SINGHADEVI,455,2099,970,1129,4.613186813186813,85.91674047829937
SISNERI,859,4166,1910,2256,4.849825378346915,84.66312056737588
TALUWA,447,1996,870,1126,4.465324384787472,77.26465364120781
TARKERABARI,411,2044,945,1099,4.97323600973236,85.98726114649682
THAKLE,552,2828,1301,1527,5.1231884057971016,85.19973804846104
TOKSEL,588,2688,1279,1409,4.571428571428571,90.7735982966643
THULACHHAP,743,3070,1374,1696,4.131897711978466,81.01415094339622
UBU,725,3050,1346,1704,4.206896551724138,78.9906103286385
YASAM,585,2703,1234,1469,4.62051282051282,84.00272294077604
