VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
ANDHERI NARAYANSTHAN,597,0,0,1,0,0,9
BAKSA,534,0,0,10,0,0,2
BALAKHU,827,2,1,4,0,0,1
BARNALU,655,4,9,25,0,0,1
BARUNESHWOR,784,8,3,8,0,2,4
BETINI,455,1,0,0,0,0,3
BHADAURE,561,0,0,1,0,0,1
BHUSSINGA,298,2,17,5,0,0,0
BIGUTAR,449,7,47,28,0,1,1
BILANDU,480,1,0,1,0,1,1
CHYANAM,613,2,2,0,0,0,2
DIYALE,508,0,0,3,0,0,3
FEDIGUTH,764,0,0,2,0,0,3
FULBARI,764,1,2,6,0,0,3
GAMNANGTAR,589,2,1,2,0,1,4
HARKAPUR,601,2,5,0,0,0,6
JANTARKHANI,348,3,34,1,0,0,2
JYAMIRE,537,0,1,0,0,0,7
KALIKADEVI,415,1,0,0,0,0,1
KHIGIKATI,340,2,6,1,0,0,3
KATUNJE,906,1,1,3,10,0,5
KETUKE,580,54,0,28,0,13,0
KHIJI CHANDESHWORI,264,0,1,10,0,0,0
KHIJIFALATE,677,5,19,4,0,0,1
KUIBHIR,401,0,0,3,0,4,1
KUNTADEVI,574,1,1,3,0,1,3
MADHAVPUR,494,3,0,1,0,0,2
MAMKHA,691,0,1,13,0,0,22
MANEBHANJYANG,559,3,1,32,0,0,28
MOLI,401,0,0,6,0,0,2
MULKHARKA,734,3,1,8,0,0,2
NARMEDESHWOR,320,0,2,0,0,0,0
OKHALDHUNGA,1066,139,13,11,0,19,110
PALAPU,920,1,1,4,0,0,20
PALTE,673,0,39,1,4,2,0
POKALI,614,2,12,11,0,1,3
POKHARE,328,0,1,2,0,0,0
PRAPCHA,267,0,2,2,0,0,0
RAGADEEP,409,0,12,30,0,1,3
RAGANI,717,3,7,12,0,3,6
RANIBAN,400,1,0,2,0,0,1
RATMATA,441,0,0,4,0,0,2
RAWADOLU,331,0,2,0,0,1,3
RUMJATAR,425,9,1,1,310,0,5
SALLERI,411,2,1,3,1,0,1
SERNA,335,1,1,2,0,0,4
SHREECHAUR,533,6,28,4,0,9,1
SINGHADEVI,450,0,0,0,0,0,5
SISNERI,828,5,1,5,0,0,20
TALUWA,447,0,0,0,0,0,0
TARKERABARI,401,0,1,6,0,0,3
THAKLE,477,10,4,59,0,0,2
TOKSEL,530,2,1,52,0,0,3
THULACHHAP,735,3,0,0,0,0,5
UBU,674,1,1,46,0,2,1
YASAM,579,0,1,4,0,0,1
TOTAL,30711,293,284,470,325,61,322
