VDC/MUNICIPALITY,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE
ANDHERI NARAYANSTHAN,2186,962,1224,1480,741,739,87,33,54,619,188,431,0,0,0,67.7035681610247,77.02702702702703,60.37581699346405
BAKSA,1979,860,1119,1184,602,582,105,47,58,690,211,479,0,0,0,59.828196058615454,70,52.01072386058981
BALAKHU,3583,1686,1897,2145,1144,1001,67,39,28,1370,503,867,1,0,1,59.86603404967904,67.85290628707,52.767527675276746
BARNALU,2565,1144,1421,1641,864,777,68,32,36,856,248,608,0,0,0,63.976608187134495,75.52447552447552,54.679802955665025
BARUNESHWOR,3096,1426,1670,2101,1113,988,108,48,60,887,265,622,0,0,0,67.86175710594316,78.05049088359046,59.16167664670658
BETINI,1920,831,1089,1227,620,607,55,18,37,637,193,444,1,0,1,63.90625,74.60890493381469,55.73921028466483
BHADAURE,2666,1190,1476,1759,912,847,82,36,46,825,242,583,0,0,0,65.97899474868717,76.63865546218489,57.38482384823848
BHUSSINGA,1430,713,717,1021,517,504,7,5,2,402,191,211,0,0,0,71.3986013986014,72.51051893408135,70.29288702928869
BIGUTAR,1969,896,1073,1188,632,556,35,18,17,746,246,500,0,0,0,60.33519553072626,70.53571428571429,51.817334575955265
BILANDU,2072,957,1115,1298,667,631,6,2,4,768,288,480,0,0,0,62.64478764478765,69.6969696969697,56.59192825112107
CHYANAM,2516,1131,1385,1540,803,737,8,3,5,968,325,643,0,0,0,61.208267090620026,70.99911582670202,53.2129963898917
DIYALE,2025,922,1103,1466,737,729,17,8,9,542,177,365,0,0,0,72.39506172839506,79.93492407809111,66.09247506799638
FEDIGUTH,3262,1495,1767,1920,1015,905,77,37,40,1265,443,822,0,0,0,58.859595340282034,67.89297658862876,51.21675155631012
FULBARI,3204,1432,1772,1905,1006,899,56,32,24,1243,394,849,0,0,0,59.456928838951306,70.25139664804469,50.73363431151241
GAMNANGTAR,2660,1258,1402,1702,957,745,65,33,32,893,268,625,0,0,0,63.984962406015036,76.0731319554849,53.13837375178316
HARKAPUR,2314,1043,1271,1350,681,669,62,31,31,902,331,571,0,0,0,58.34053586862575,65.29242569511025,52.63571990558616
JANTARKHANI,1588,678,910,1054,523,531,44,20,24,490,135,355,0,0,0,66.3727959697733,77.13864306784662,58.35164835164836
JYAMIRE,1981,845,1136,1343,671,672,19,7,12,619,167,452,0,0,0,67.79404341241798,79.40828402366864,59.154929577464785
KALIKADEVI,1816,797,1019,1003,532,471,64,35,29,749,230,519,0,0,0,55.231277533039645,66.75031367628608,46.22178606476938
KHIGIKATI,1495,676,819,1000,519,481,32,16,16,463,141,322,0,0,0,66.88963210702342,76.77514792899409,58.730158730158735
KATUNJE,3847,1807,2040,2383,1282,1101,153,76,77,1308,448,860,3,1,2,61.94437223810761,70.94631986718318,53.970588235294116
KETUKE,2618,1171,1447,1636,867,769,49,25,24,933,279,654,0,0,0,62.490450725744836,74.0392826643894,53.14443676572218
KHIJI CHANDESHWORI,1175,553,622,826,450,376,27,16,11,320,86,234,2,1,1,70.29787234042553,81.374321880651,60.45016077170418
KHIJIFALATE,3154,1489,1665,1941,1067,874,162,71,91,1051,351,700,0,0,0,61.54090044388079,71.65883143049027,52.492492492492495
KUIBHIR,1569,702,867,1100,572,528,63,29,34,405,100,305,1,1,0,70.10834926704908,81.48148148148148,60.89965397923876
KUNTADEVI,2221,1004,1217,1470,774,696,87,37,50,663,193,470,1,0,1,66.18640252138677,77.09163346613546,57.189811010682
MADHAVPUR,2246,998,1248,1475,735,740,16,7,9,755,256,499,0,0,0,65.67230632235085,73.64729458917836,59.294871794871796
MAMKHA,2873,1282,1591,1953,976,977,55,20,35,865,286,579,0,0,0,67.97772363383223,76.13104524180967,61.407919547454426
MANEBHANJYANG,2809,1333,1476,1863,1005,858,184,95,89,760,233,527,2,0,2,66.32253470986116,75.39384846211553,58.13008130081301
MOLI,1696,730,966,1102,552,550,109,38,71,485,140,345,0,0,0,64.97641509433963,75.61643835616438,56.935817805383024
MULKHARKA,3058,1302,1756,1806,883,923,147,60,87,1102,357,745,3,2,1,59.058207979071284,67.81874039938556,52.562642369020494
NARMEDESHWOR,1378,582,796,868,415,453,116,53,63,391,113,278,3,1,2,62.989840348330915,71.30584192439862,56.90954773869347
OKHALDHUNGA,4496,2171,2325,3653,1961,1692,46,23,23,797,187,610,0,0,0,81.25,90.32703823122985,72.7741935483871
PALAPU,4622,2069,2553,2241,1230,1011,129,59,70,2251,779,1472,1,1,0,48.485504110774556,59.44900918318028,39.60047003525264
PALTE,3120,1520,1600,1791,1011,780,71,41,30,1258,468,790,0,0,0,57.403846153846146,66.51315789473684,48.75
POKALI,2715,1317,1398,1874,1059,815,90,34,56,751,224,527,0,0,0,69.02394106813996,80.41002277904327,58.29756795422032
POKHARE,1315,590,725,894,464,430,40,21,19,381,105,276,0,0,0,67.98479087452472,78.64406779661017,59.310344827586206
PRAPCHA,1126,507,619,798,405,393,37,14,23,291,88,203,0,0,0,70.87033747779752,79.88165680473372,63.48949919224556
