VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
ANDHERI NARAYANSTHAN,72,104,420,11
BAKSA,173,32,340,1
BALAKHU,536,90,206,3
BARNALU,91,206,396,1
BARUNESHWOR,127,158,523,1
BETINI,115,56,285,3
BHADAURE,341,5,216,1
BHUSSINGA,69,29,224,0
BIGUTAR,53,45,435,0
BILANDU,99,34,350,1
CHYANAM,302,130,186,1
DIYALE,95,20,396,3
FEDIGUTH,323,90,354,2
FULBARI,339,103,330,4
GAMNANGTAR,91,299,206,3
HARKAPUR,157,55,397,5
JANTARKHANI,151,38,198,1
JYAMIRE,88,104,348,5
KALIKADEVI,191,14,211,1
KHIGIKATI,75,124,150,3
KATUNJE,186,13,724,3
KETUKE,174,244,257,0
KHIJI CHANDESHWORI,95,75,105,0
KHIJIFALATE,288,120,297,1
KUIBHIR,106,11,291,1
KUNTADEVI,95,113,373,2
MADHAVPUR,177,188,131,4
MAMKHA,95,43,568,21
MANEBHANJYANG,131,339,144,9
MOLI,153,33,221,2
MULKHARKA,275,149,323,1
NARMEDESHWOR,96,13,213,0
OKHALDHUNGA,80,750,463,65
PALAPU,513,121,296,16
PALTE,334,23,362,0
POKALI,134,170,337,2
POKHARE,41,10,280,0
PRAPCHA,8,18,245,0
RAGADEEP,70,8,374,3
RAGANI,144,329,271,4
RANIBAN,197,92,114,1
RATMATA,28,19,399,1
RAWADOLU,58,31,246,2
RUMJATAR,46,144,559,2
SALLERI,30,152,236,1
SERNA,26,28,287,2
SHREECHAUR,246,50,284,1
SINGHADEVI,281,90,82,2
SISNERI,445,55,343,16
TALUWA,240,28,179,0
TARKERABARI,74,184,151,2
THAKLE,209,105,236,2
TOKSEL,297,143,146,2
THULACHHAP,221,59,457,6
UBU,275,195,253,2
YASAM,139,48,397,1
TOTAL,9495,5929,16815,227
