VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
ARCHALE,375,0,0,0,76,2,0,0
ARGALI,814,0,1,1,1,2,0,0
BAHADURPUR,296,1,0,1,0,0,0,2
BALDENGADHI,203,0,0,110,22,90,0,0
BANDIPOKHARA,323,0,1,11,250,29,5,3
BARANGDI,541,0,0,6,10,8,0,1
BHAIRABSTHAN,495,0,0,3,44,18,12,0
BHUWANPOKHARI,687,3,0,261,146,95,41,3
BIRKOT,334,0,1,48,378,0,1,0
BODHAPOKHARATHOK,585,0,0,2,75,2,0,0
BOUDHAGUMBA,526,0,2,1,1,0,0,1
CHAPPANI,326,0,8,139,27,15,0,2
CHHAHARA,975,0,113,57,28,7,0,0
CHIDIPANI,701,1,82,51,44,123,0,0
CHIRTUNGDHARA,904,12,5,5,55,19,0,0
DARCHHA,1299,57,71,99,207,10,0,13
DARLAMDANDA,383,0,0,58,71,4,1,2
DEURALI,421,0,11,13,12,140,30,2
DEVINAGAR,569,0,20,14,10,15,0,0
DOBHAN,789,2,7,378,121,132,1,6
FEK,623,0,0,45,15,3,0,2
FOKSINGKOT,615,0,94,14,44,21,0,0
GADAKOT,926,0,13,111,71,32,21,3
GALDHA,645,0,10,68,16,12,0,0
GEJHA,1014,1,0,45,84,2,0,1
GOTHADI,485,0,50,172,22,36,2,2
HAKLANG,423,0,0,85,150,3,0,4
HUMIN,532,1,1,10,6,0,0,0
HUNGI,949,0,1,29,34,33,33,2
JALPA,541,0,5,23,44,5,0,0
JHADEWA,834,0,1,63,61,5,0,0
JHIRUBAS,406,0,0,0,34,0,0,3
JUTHAPAUWA,360,1,5,154,4,185,0,3
JYAMIRE,405,0,35,70,42,23,0,1
KACHAL,439,1,3,170,114,59,0,1
KASENI,1058,0,3,43,73,3,0,1
KHALIBAN,954,11,96,116,116,24,0,2
KHANICHHAP,421,0,3,45,15,2,0,0
KHANIGAU,303,0,3,152,7,2,0,0
KHASYOLI,485,0,17,5,4,50,0,5
KHYAHA,509,0,8,16,6,6,0,1
KOLDADA,481,0,1,158,9,5,3,4
KUSUMKHOLA,403,0,1,7,0,0,1,1
MADANPOKHARA,1017,184,2,0,326,1,5,6
MASYAM,839,0,20,32,102,5,2,4
MITYAL,573,0,0,86,79,11,0,9
MUJHUNG,269,0,4,29,199,27,0,4
NAYARNAMTALES,506,0,2,0,25,0,0,1
PALUNG MAINADI,582,0,3,19,47,3,0,1
PIPALDADA,1155,0,12,12,3,9,0,2
POKHARATHOK,562,10,1,6,6,0,0,1
RAHABAS,371,0,0,14,0,1,0,0
RAMPUR,1310,609,292,95,388,25,0,14
RINGNERAHA,372,0,0,65,63,43,0,0
RUPSE,330,2,0,108,17,6,0,1
SAHALKOT,276,0,0,1,49,3,0,2
SATYAWATI,169,0,113,162,112,72,0,1
SIDDHESHWOR,531,0,9,41,64,0,1,14
SILUWA,700,0,89,115,120,9,0,2
SOMADI,456,0,0,9,122,48,0,0
TAHU,818,0,5,23,1,1,0,0
TANSEN MUNICIPALITY,7254,122,12,79,532,8,372,32
TELGHA,613,19,55,42,2,21,0,0
TIMURE,556,0,0,2,11,8,0,1
WAKAMALANG,528,6,6,25,6,3,1,4
YAMGHA,666,2,52,176,1,4,0,0
TOTAL,45810,1045,1349,4000,4824,1530,532,170
