VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
ARCHALE,129,319,252,26,0,0,0,0,282,0,6,0,0,0,5
ARGALI,71,746,546,23,454,18,34,0,624,0,20,16,0,13,2
BAHADURPUR,24,273,263,14,5,1,0,3,211,0,0,0,0,0,3
BALDENGADHI,90,330,278,12,0,1,0,0,218,0,3,9,0,0,5
BANDIPOKHARA,58,563,463,308,23,2,14,12,478,2,23,2,0,4,1
BARANGDI,30,530,441,366,132,16,8,1,507,0,14,4,0,4,6
BHAIRABSTHAN,39,532,497,261,68,6,11,2,478,2,9,0,2,5,1
BHUWANPOKHARI,168,1026,911,199,17,3,6,1,796,0,9,0,2,0,42
BIRKOT,121,640,389,245,43,2,6,1,595,1,25,6,1,9,1
BODHAPOKHARATHOK,16,609,537,281,89,6,9,1,562,3,12,0,0,8,39
BOUDHAGUMBA,25,503,463,199,58,1,11,0,482,2,11,1,0,7,3
CHAPPANI,28,482,377,316,117,13,1,3,424,1,19,2,0,2,7
CHHAHARA,112,1029,733,357,35,18,5,30,902,4,36,1,0,3,39
CHIDIPANI,92,901,815,478,18,10,7,9,823,1,18,13,0,1,9
CHIRTUNGDHARA,83,917,685,549,238,42,9,11,830,7,69,28,0,42,0
DARCHHA,144,1551,992,521,589,32,20,16,1401,4,129,166,5,93,61
DARLAMDANDA,25,476,346,293,150,15,7,1,436,0,11,5,0,2,18
DEURALI,56,573,513,242,59,7,17,0,510,0,16,0,4,2,0
DEVINAGAR,99,518,324,166,12,3,1,5,448,1,10,0,0,2,11
DOBHAN,157,1253,973,408,290,27,14,22,995,3,27,19,3,57,26
FEK,161,514,392,37,12,0,0,0,403,0,1,1,0,0,13
FOKSINGKOT,132,655,345,243,21,1,4,1,598,1,10,0,1,4,1
GADAKOT,148,982,736,54,28,2,1,12,871,1,43,24,1,9,47
GALDHA,137,614,425,48,0,5,2,21,531,0,20,13,0,1,0
GEJHA,100,1027,850,341,319,9,21,2,873,2,24,30,0,17,20
GOTHADI,81,657,633,3,0,0,0,7,173,0,2,3,0,0,31
HAKLANG,82,567,422,105,32,6,3,2,520,2,4,2,0,1,16
HUMIN,49,495,401,202,34,9,0,9,399,0,6,0,0,6,6
HUNGI,110,969,700,454,290,28,3,6,904,2,21,8,0,18,2
JALPA,66,552,447,196,35,10,10,2,476,9,22,0,0,2,0
JHADEWA,102,862,766,155,32,4,1,17,741,1,21,5,0,3,0
JHIRUBAS,102,337,318,16,1,2,2,0,260,0,7,4,1,0,4
JUTHAPAUWA,177,521,505,12,0,0,0,4,269,0,2,0,0,0,14
JYAMIRE,130,420,369,19,0,0,0,0,240,0,0,2,0,0,26
KACHAL,183,598,509,14,0,1,0,9,352,0,0,0,0,0,6
KASENI,46,1110,847,442,189,36,6,13,998,4,66,68,1,48,25
KHALIBAN,172,1122,684,349,154,17,7,11,1037,1,57,42,3,9,25
KHANICHHAP,35,451,330,254,102,4,1,4,420,0,2,4,0,7,0
KHANIGAU,42,421,283,226,18,4,1,1,388,3,2,1,0,2,4
KHASYOLI,60,500,445,284,69,10,10,2,434,0,14,0,0,8,6
KHYAHA,61,481,326,45,144,4,2,4,432,0,5,0,0,0,4
KOLDADA,24,594,401,113,8,3,0,0,481,0,1,1,0,1,43
KUSUMKHOLA,66,346,255,138,27,3,8,8,306,0,13,0,0,2,1
MADANPOKHARA,60,1473,1110,894,544,112,24,70,1333,19,148,35,2,69,8
MASYAM,108,871,662,195,101,13,4,24,709,3,21,9,1,35,25
MITYAL,196,552,422,28,0,1,0,0,440,0,10,1,0,0,10
MUJHUNG,93,439,292,107,11,4,1,0,367,0,4,0,0,0,0
NAYARNAMTALES,29,498,389,322,135,29,12,21,427,12,55,1,4,30,7
PALUNG MAINADI,72,578,477,140,41,9,3,0,475,1,13,0,0,6,5
PIPALDADA,157,970,537,264,102,6,3,7,875,3,17,1,0,13,66
POKHARATHOK,64,509,425,274,111,17,3,20,406,0,13,4,0,7,13
RAHABAS,33,348,317,54,6,0,7,8,270,0,4,0,0,2,5
RAMPUR,183,2503,1551,480,1342,157,37,65,2320,6,425,456,8,339,47
RINGNERAHA,52,478,349,115,87,10,2,4,437,6,29,0,0,13,13
RUPSE,64,400,358,189,37,6,1,6,327,0,23,9,1,9,0
SAHALKOT,40,264,201,15,1,1,3,5,249,0,8,0,0,0,27
SATYAWATI,124,497,474,20,7,0,1,1,297,0,6,0,1,0,8
SIDDHESHWOR,68,578,477,104,7,4,3,2,489,0,2,1,0,0,14
SILUWA,218,805,486,214,20,9,5,0,698,0,27,1,1,0,12
SOMADI,66,504,378,209,85,7,2,0,434,2,6,0,1,0,65
TAHU,63,772,534,276,270,27,15,2,652,4,69,31,7,43,13
TANSEN MUNICIPALITY,218,8087,5739,5042,4295,1422,999,1628,7475,165,991,93,15,1079,106
TELGHA,68,684,484,415,96,22,1,19,627,1,26,1,2,5,0
TIMURE,73,458,314,73,7,3,0,3,391,0,6,0,0,1,47
WAKAMALANG,145,427,321,43,3,2,1,10,346,0,12,2,1,0,7
YAMGHA,83,793,600,412,182,15,3,15,709,2,14,2,2,3,25
