VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
ARCHALE,62,65,0,174,152,0
ARGALI,768,49,2,0,0,0
BAHADURPUR,25,94,2,140,37,2
BALDENGADHI,0,223,0,107,95,0
BANDIPOKHARA,528,90,1,0,0,3
BARANGDI,527,34,1,2,1,1
BHAIRABSTHAN,525,47,0,0,0,0
BHUWANPOKHARI,686,503,0,38,6,3
BIRKOT,651,83,0,2,26,0
BODHAPOKHARATHOK,524,129,0,11,0,0
BOUDHAGUMBA,391,119,0,20,0,1
CHAPPANI,494,18,0,0,3,2
CHHAHARA,907,174,2,61,36,0
CHIDIPANI,869,129,2,1,1,0
CHIRTUNGDHARA,919,78,1,0,2,0
DARCHHA,1262,258,1,186,35,14
DARLAMDANDA,498,17,1,0,0,3
DEURALI,575,52,0,0,0,2
DEVINAGAR,330,237,0,42,19,0
DOBHAN,1022,267,1,138,2,6
FEK,173,260,0,134,119,2
FOKSINGKOT,726,61,0,1,0,0
GADAKOT,330,391,0,393,60,3
GALDHA,210,243,1,200,97,0
GEJHA,1031,94,3,2,16,1
GOTHADI,4,516,2,181,64,2
HAKLANG,343,131,1,17,169,4
HUMIN,483,65,1,0,1,0
HUNGI,1038,36,4,0,1,2
JALPA,414,87,3,14,100,0
JHADEWA,219,193,0,545,7,0
JHIRUBAS,173,30,0,147,90,3
JUTHAPAUWA,2,417,1,182,107,3
JYAMIRE,0,5,0,276,294,1
KACHAL,438,133,3,198,14,1
KASENI,861,207,4,104,4,1
KHALIBAN,1170,106,5,3,33,2
KHANICHHAP,456,24,3,1,2,0
KHANIGAU,413,52,2,0,0,0
KHASYOLI,492,66,2,0,1,5
KHYAHA,444,98,3,0,0,1
KOLDADA,497,156,1,2,1,4
KUSUMKHOLA,320,87,1,0,4,1
MADANPOKHARA,1443,85,4,0,4,5
MASYAM,649,328,4,14,5,4
MITYAL,249,224,1,245,30,9
MUJHUNG,315,206,1,6,0,4
NAYARNAMTALES,518,11,4,0,0,1
PALUNG MAINADI,401,238,0,15,0,1
PIPALDADA,812,319,1,52,7,2
POKHARATHOK,518,66,0,0,1,1
RAHABAS,164,13,1,204,4,0
RAMPUR,2461,229,6,17,6,14
RINGNERAHA,518,19,0,0,5,1
RUPSE,343,110,5,5,0,1
SAHALKOT,17,144,0,168,0,2
SATYAWATI,92,25,0,182,329,1
SIDDHESHWOR,626,20,0,0,0,14
SILUWA,881,134,4,1,12,3
SOMADI,574,58,0,1,2,0
TAHU,817,29,0,1,1,0
TANSEN MUNICIPALITY,8180,170,21,0,4,36
TELGHA,689,62,1,0,0,0
TIMURE,203,296,1,75,2,1
WAKAMALANG,155,81,11,228,100,4
YAMGHA,824,74,1,1,1,0
TOTAL,43249,9065,120,4537,2112,177
