VDC/MUNICIPALITY,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE
ARCHALE,2470,1102,1368,41,28,13,9,4,5,8,6,2,1,1,0,7,5,2,5,1,4,2,2,0,2,1,1
ARGALI,3315,1388,1927,26,14,12,16,10,6,13,5,8,0,0,0,12,6,6,5,4,1,3,0,3,3,2,1
BAHADURPUR,1649,732,917,12,9,3,6,2,4,10,7,3,0,0,0,6,5,1,3,3,0,2,1,1,2,2,0
BALDENGADHI,1995,932,1063,24,17,7,4,3,1,3,2,1,0,0,0,5,3,2,3,2,1,0,0,0,9,2,7
BANDIPOKHARA,2411,1018,1393,19,10,9,8,1,7,9,5,4,1,1,0,7,3,4,3,1,2,3,2,1,2,2,0
BARANGDI,2271,998,1273,39,26,13,14,11,3,9,3,6,0,0,0,13,8,5,4,2,2,1,1,0,0,0,0
BHAIRABSTHAN,2148,924,1224,24,13,11,5,4,1,10,2,8,0,0,0,11,5,6,7,4,3,5,3,2,1,1,0
BHUWANPOKHARI,5246,2202,3044,63,34,29,23,6,17,31,18,13,2,1,1,23,10,13,9,5,4,7,1,6,4,2,2
BIRKOT,3499,1451,2048,44,27,17,23,16,7,36,24,12,5,1,4,21,11,10,6,4,2,3,2,1,3,2,1
BODHAPOKHARATHOK,2518,1045,1473,18,14,4,8,5,3,8,4,4,0,0,0,5,2,3,4,1,3,6,2,4,1,0,1
BOUDHAGUMBA,2099,828,1271,28,14,14,4,3,1,5,3,2,0,0,0,2,1,1,6,4,2,6,1,5,5,4,1
CHAPPANI,2048,838,1210,3,1,2,9,4,5,2,2,0,0,0,0,5,4,1,1,0,1,3,0,3,4,3,1
CHHAHARA,4596,1942,2654,95,56,39,24,15,9,33,15,18,4,2,2,10,2,8,21,8,13,5,3,2,10,8,2
CHIDIPANI,4122,1771,2351,9,8,1,4,1,3,12,7,5,0,0,0,6,3,3,8,3,5,4,1,3,6,5,1
CHIRTUNGDHARA,4152,1759,2393,46,25,21,11,4,7,15,6,9,0,0,0,9,3,6,12,6,6,8,5,3,13,7,6
DARCHHA,7368,3166,4202,76,52,24,17,5,12,47,23,24,1,0,1,36,19,17,11,7,4,4,2,2,5,3,2
DARLAMDANDA,2026,835,1191,29,19,10,9,2,7,13,9,4,1,0,1,4,3,1,5,3,2,3,1,2,7,6,1
DEURALI,2265,933,1332,13,8,5,16,7,9,8,1,7,0,0,0,12,8,4,3,1,2,5,4,1,2,1,1
DEVINAGAR,2883,1270,1613,35,22,13,7,4,3,27,14,13,0,0,0,21,7,14,3,1,2,10,6,4,3,0,3
DOBHAN,6727,3137,3590,45,29,16,8,3,5,35,16,19,1,1,0,21,11,10,7,2,5,15,9,6,13,7,6
FEK,2919,1218,1701,21,12,9,4,3,1,7,3,4,1,1,0,9,5,4,2,0,2,4,3,1,5,5,0
FOKSINGKOT,3601,1423,2178,34,22,12,12,5,7,35,15,20,2,1,1,24,13,11,4,2,2,16,11,5,5,1,4
GADAKOT,5014,2100,2914,28,19,9,12,8,4,21,10,11,2,2,0,28,18,10,2,0,2,13,6,7,7,3,4
GALDHA,3674,1571,2103,51,32,19,24,8,16,19,5,14,1,1,0,17,15,2,12,6,6,5,4,1,21,13,8
GEJHA,5130,2173,2957,46,23,23,17,8,9,26,13,13,1,1,0,27,19,8,13,7,6,2,2,0,15,9,6
GOTHADI,4473,2095,2378,39,22,17,9,5,4,25,13,12,2,1,1,5,4,1,1,1,0,1,1,0,3,1,2
HAKLANG,3077,1297,1780,14,9,5,6,5,1,15,6,9,0,0,0,5,3,2,3,2,1,3,2,1,1,1,0
HUMIN,2392,1031,1361,14,10,4,4,2,2,11,5,6,3,1,2,2,1,1,4,0,4,5,2,3,1,0,1
HUNGI,4489,1888,2601,25,9,16,11,9,2,15,6,9,0,0,0,14,8,6,9,4,5,8,5,3,8,4,4
JALPA,3070,1356,1714,35,22,13,12,7,5,16,5,11,0,0,0,6,4,2,6,5,1,10,6,4,5,3,2
JHADEWA,4376,1874,2502,52,35,17,20,14,6,27,10,17,0,0,0,23,17,6,18,6,12,12,5,7,8,5,3
JHIRUBAS,3037,1368,1669,44,28,16,3,1,2,19,13,6,0,0,0,11,6,5,8,0,8,5,4,1,0,0,0
JUTHAPAUWA,3339,1490,1849,37,27,10,8,5,3,24,11,13,0,0,0,15,8,7,4,2,2,5,3,2,8,4,4
