VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
AANGNA,654,4,0,12,1,0,0,2
AANGSARANG,1121,20,6,5,1,0,1,5
AARUBOTE,763,9,4,6,4,0,2,2
AMARPUR,1255,15,45,10,5,0,2,2
BHARAPA,1413,9,5,3,6,0,0,6
CHILINGDIN,762,8,11,0,18,0,0,0
CHOKMAGU,795,3,0,2,6,0,0,1
CHYANGTHAPU,482,4,2,4,0,0,0,2
DURDIMBA,679,1,1,2,1,0,0,1
EKTEEN,1166,10,1,1,2,0,0,10
EMBUNG,478,1,5,0,1,0,0,0
PHALAINCHA,648,0,2,1,0,0,0,1
HANGUM,595,6,1,2,4,0,0,0
KURUMBA,827,5,5,1,2,1,0,2
LIMBA,911,3,9,3,6,0,0,2
LUNGRUPA,1068,15,2,1,0,1,2,1
LUMPHABUNG,512,3,1,6,3,0,0,2
MANGJABUNG,747,10,1,3,3,0,0,7
MAUWA,947,5,6,8,2,0,1,2
MEMENG,964,5,0,2,7,0,0,6
NAGI,856,0,3,0,1,0,1,2
NANGEEN,1358,12,6,0,9,0,1,2
NAWAMIDANDA,848,5,1,1,1,0,1,1
OLANE,556,2,1,3,0,1,0,0
OYAM,759,0,3,0,0,0,0,4
PANCHAMI,991,1,23,3,1,0,0,9
PAUWA SARTAP,880,4,45,0,0,0,4,6
PHAKTEP,907,6,7,0,0,0,0,2
PHIDIM,2082,43,1979,5,96,8,61,17
PRANGBUNG,874,9,1,0,0,0,0,9
RABI,922,9,59,3,2,0,2,2
RANI GAUN,1038,10,13,3,0,0,0,4
RANITAR,1448,37,6,2,0,0,0,7
SARANG DANDA,1277,6,10,4,1,0,0,1
SIDIN,855,17,4,4,1,0,1,3
SIWA,754,2,2,0,1,0,0,0
SUBHANG,972,7,1,4,0,0,0,4
SYABRUMBA,688,4,0,17,4,0,0,1
THARPU,947,2,79,0,7,0,0,1
YANGANAM,1197,11,7,12,0,0,0,5
YASOK,920,7,11,1,0,1,1,6
TOTAL,37916,330,2368,134,196,12,80,140
