VDC/MUNICIPALITY,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO
AANGNA,673,3244,1521,1723,4.820208023774145,88.27626233313988
AANGSARANG,1159,5701,2635,3066,4.918895599654875,85.94259621656882
AARUBOTE,790,3672,1688,1984,4.648101265822785,85.08064516129032
AMARPUR,1334,6343,2926,3417,4.754872563718141,85.63067017851917
BHARAPA,1442,6893,3183,3710,4.780166435506241,85.79514824797843
CHILINGDIN,799,3650,1706,1944,4.5682102628285355,87.75720164609054
CHOKMAGU,807,3825,1757,2068,4.739776951672862,84.9613152804642
CHYANGTHAPU,494,2272,1073,1199,4.59919028340081,89.49124270225187
DURDIMBA,685,2990,1410,1580,4.364963503649635,89.24050632911393
EKTEEN,1190,5271,2461,2810,4.429411764705883,87.58007117437722
EMBUNG,485,2200,1032,1168,4.536082474226804,88.35616438356165
PHALAINCHA,652,3261,1587,1674,5.001533742331288,94.80286738351255
HANGUM,608,2911,1374,1537,4.787828947368421,89.39492517891998
KURUMBA,843,3788,1711,2077,4.493475682087782,82.37843042850265
LIMBA,934,4405,2011,2394,4.7162740899357605,84.00167084377611
LUNGRUPA,1090,5412,2552,2860,4.965137614678899,89.23076923076924
LUMPHABUNG,527,2450,1149,1301,4.648956356736243,88.31667947732514
MANGJABUNG,771,3692,1685,2007,4.788586251621271,83.95615346287993
MAUWA,971,4728,2180,2548,4.869207003089598,85.55729984301414
MEMENG,984,4654,2247,2407,4.729674796747967,93.35272122974658
NAGI,863,4141,1953,2188,4.79837775202781,89.25959780621572
NANGEEN,1388,6712,3114,3598,4.835734870317003,86.54808226792663
NAWAMIDANDA,858,4128,1885,2243,4.811188811188811,84.03923316986179
OLANE,563,2536,1190,1346,4.504440497335701,88.41010401188707
OYAM,766,3891,1876,2015,5.079634464751958,93.10173697270471
PANCHAMI,1028,4878,2247,2631,4.745136186770428,85.40478905359178
PAUWA SARTAP,939,4338,1961,2377,4.619808306709265,82.4989482541018
PHAKTEP,922,4043,1889,2154,4.385032537960955,87.69730733519035
PHIDIM,4291,17399,8368,9031,4.054765788860405,92.65862030782858
PRANGBUNG,893,4390,2097,2293,4.916013437849944,91.45224596598342
RABI,999,4200,1932,2268,4.2042042042042045,85.18518518518519
RANI GAUN,1068,4985,2331,2654,4.667602996254682,87.82969103240393
RANITAR,1500,7065,3345,3720,4.71,89.91935483870968
SARANG DANDA,1299,5560,2550,3010,4.280215550423403,84.71760797342192
SIDIN,885,4588,2150,2438,5.184180790960452,88.1870385561936
SIWA,759,3544,1639,1905,4.669301712779974,86.03674540682414
SUBHANG,988,4799,2290,2509,4.857287449392713,91.27142287764049
SYABRUMBA,714,3217,1433,1784,4.5056022408963585,80.32511210762333
THARPU,1036,4716,2212,2504,4.552123552123552,88.33865814696486
YANGANAM,1232,5775,2608,3167,4.6875,82.34922639722134
YASOK,947,4224,1952,2272,4.460401267159451,85.91549295774648
