VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
AANGNA,270,84,317,2
AANGSARANG,70,164,920,5
AARUBOTE,117,96,575,2
AMARPUR,166,588,578,2
BHARAPA,256,248,932,6
CHILINGDIN,42,171,586,0
CHOKMAGU,39,74,693,1
CHYANGTHAPU,50,47,395,2
DURDIMBA,113,86,485,1
EKTEEN,61,209,910,10
EMBUNG,49,111,325,0
PHALAINCHA,71,65,515,1
HANGUM,161,66,381,0
KURUMBA,58,151,631,3
LIMBA,64,283,585,2
LUNGRUPA,199,91,800,0
LUMPHABUNG,92,64,370,1
MANGJABUNG,145,97,522,7
MAUWA,383,38,548,2
MEMENG,47,76,855,6
NAGI,66,217,578,2
NANGEEN,149,281,956,2
NAWAMIDANDA,61,148,648,1
OLANE,113,27,423,0
OYAM,87,197,479,3
PANCHAMI,128,193,698,9
PAUWA SARTAP,52,306,575,6
PHAKTEP,174,208,538,2
PHIDIM,124,2096,2054,17
PRANGBUNG,53,51,780,9
RABI,45,278,674,2
RANI GAUN,238,73,753,4
RANITAR,66,275,1153,6
SARANG DANDA,176,195,927,1
SIDIN,70,250,562,3
SIWA,58,229,472,0
SUBHANG,168,241,575,4
SYABRUMBA,221,114,378,1
THARPU,70,884,81,1
YANGANAM,148,199,880,5
YASOK,124,125,692,6
TOTAL,4844,9396,26799,137
