VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
ARTHAR DADAKHARKA,237,359,1,106,0,0
BACHCHHA,308,135,0,1,0,0
BAHAKI THANTI,357,22,1,1,1,1
BAJUNG,1014,51,2,0,5,4
BALAKOT,2,251,0,18,0,1
BANOU,301,35,1,6,5,1
BASKHARKA,233,20,0,0,0,1
BEULIBAS,412,117,1,31,5,0
BHANGARA,48,200,2,188,3,0
BHOKSING,171,23,0,0,0,0
BHORLE,181,223,0,67,1,1
BHUKTANGLE,529,41,0,3,1,0
BIHADI BARACHAUR,455,17,0,0,1,4
BIHADI RANIPANI,464,80,3,3,0,1
BITALAWA PIPALTARI,594,28,0,0,0,1
CHITRE,386,43,0,0,0,6
CHUWA,424,7,0,1,1,0
DEUPURKOT,672,27,0,0,0,5
DEURALI,460,24,1,0,0,1
DHAIRING,658,142,1,66,25,4
DURLUNG,682,51,0,0,1,2
FALAMKHANI,1,208,0,3,0,0
FALEBAS DEVISTHAN,654,27,10,3,2,1
FULEBAS KHANIGAUN,456,11,0,0,1,5
HOSRANGDI,0,149,0,182,0,0
HUWAS,971,61,0,0,1,2
KARKINETA,442,6,1,0,2,0
KATUWA CHAUPARI,476,14,0,0,0,0
KHAULA LAKURI,22,427,0,73,33,0
KHURKOT,900,42,3,0,13,0
KURGHA,626,26,0,0,2,1
KYANG,420,84,0,13,0,0
LEKHFANT,25,399,15,197,31,0
LIMITHANA,359,11,0,0,0,1
LUNKHU DEURALI,475,31,0,0,0,0
MAJHPHANT MALLAJ,1991,90,4,3,5,7
MUDIKUWA,438,28,0,1,0,0
NAGLIWANG,641,37,0,1,2,2
PAKHAPANI,2,343,0,206,10,0
PAKUWA,533,27,1,1,2,1
PANG,1100,91,5,2,2,1
PANGRANG,442,31,0,0,11,0
RAMJA DEURALI,464,14,2,0,0,6
SALIGRAM,527,44,0,0,2,5
SALIJA,562,32,0,15,2,1
SARAUKHOLA,346,75,3,35,0,0
SHANKAR POKHARI,653,241,0,58,12,1
SHIVALAYA,3293,58,5,2,5,15
TAKLAK,303,7,1,0,0,0
THANA MAULO,323,15,0,1,2,0
THAPATHANA,26,413,0,243,7,2
THULI POKHARI,648,18,1,0,0,2
TILAHAR,1163,33,1,0,2,2
TRIBENI,441,9,0,0,0,0
URAMPOKHARA,303,131,1,59,11,3
TOTAL,28614,5129,66,1589,209,91
