VDC/MUNICIPALITY,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO
TOTAL,47730,228102,100053,128049,4.779006913890635,78.13649462315207
ARKHA,900,5651,2581,3070,6.278888888888889,84.07166123778501
BADIKOT,1140,5362,2288,3074,4.703508771929824,74.43070917371503
BANGESAL,1320,6607,2959,3648,5.00530303030303,81.11293859649122
BARAULA,883,4205,1767,2438,4.762174405436014,72.47744052502051
BARJIWANG,596,2423,978,1445,4.065436241610739,67.68166089965398
BELWAS,1318,5748,2323,3425,4.361153262518968,67.82481751824817
BHINGRI,1301,5389,2240,3149,4.142198308993082,71.13369323594792
BIJAYA NAGAR,937,3993,1706,2287,4.2614727854855925,74.59554000874508
BIJUBAR,1851,7351,3376,3975,3.971366828741221,84.93081761006289
BIJULI,923,3975,1675,2300,4.306608884073673,72.82608695652173
CHUJA,1232,5813,2475,3338,4.7183441558441555,74.14619532654284
DAKHAKWADI,1434,6077,2514,3563,4.237796373779638,70.55851810272242
DAMRI,882,4757,2166,2591,5.393424036281179,83.59706676958703
DANGWANG,838,4534,2080,2454,5.4105011933174225,84.75957620211899
DHARAMPANI,710,3083,1268,1815,4.342253521126761,69.86225895316804
DHARMAWATI,1132,4883,2234,2649,4.313604240282685,84.33371083427708
DHOBAGHAT (UDAYAPUR KOT),604,3155,1364,1791,5.223509933774834,76.15857063093245
DHUWANG,708,3623,1580,2043,5.117231638418079,77.33724914341654
DUNGEGADI,763,4264,1892,2372,5.588466579292267,79.76391231028668
GOTHIWANG,1190,5460,2228,3232,4.588235294117647,68.93564356435643
HANSAPUR,724,3970,1763,2207,5.483425414364641,79.88219302220209
JUMRIKANDA,898,4301,1889,2412,4.789532293986637,78.3167495854063
KHAIRA,914,4087,1685,2402,4.471553610503283,70.14987510407992
KHAWANG,1147,5977,2672,3305,5.210985178727114,80.84720121028745
KHUNG,706,3256,1483,1773,4.611898016997167,83.64354201917654
KOCHIWANG,655,3439,1475,1964,5.250381679389313,75.10183299389001
LIGHA,588,3545,1646,1899,6.02891156462585,86.67719852553975
LIWANG,933,5014,2290,2724,5.37406216505895,84.06754772393539
LUNG,1019,4669,2019,2650,4.581943081452405,76.18867924528303
MAJHAKOT,697,3230,1451,1779,4.634146341463414,81.56267566048342
MARANTHANA,1455,6285,2687,3598,4.319587628865979,74.68037798777098
MARKAWANG,606,3118,1373,1745,5.145214521452146,78.68194842406876
NARIKOT,706,3356,1423,1933,4.753541076487252,73.6161407139162
NAYA GAUN,760,3462,1496,1966,4.5552631578947365,76.09359104781281
OKHARKOT,1202,5732,2584,3148,4.768718801996672,82.0838627700127
PAKALA,936,4622,1995,2627,4.938034188034188,75.94213932242101
PHOPLI,1537,7760,3503,4257,5.048796356538712,82.28799624148462
PUJA,1087,5135,2293,2842,4.724011039558418,80.68261787473611
PYTHAN KHALANGA,1536,5860,2601,3259,3.8151041666666665,79.8097575943541
RAJBARA,845,5093,2282,2811,6.027218934911242,81.18107435076485
RAMDI,525,2434,1079,1355,4.636190476190476,79.6309963099631
RUSPUR KOT,778,3373,1382,1991,4.33547557840617,69.4123556002009
SARI,850,3594,1409,2185,4.228235294117647,64.48512585812357
SWARGADWARIKHAL,1058,4887,2132,2755,4.619092627599244,77.38656987295826
SYAULIWANG,636,3584,1614,1970,5.635220125786163,81.92893401015229
TIRAM,1122,5907,2617,3290,5.264705882352941,79.54407294832826
TORWANG,937,4323,1843,2480,4.613660618996798,74.31451612903226
TUSARA,1193,5771,2455,3316,4.837384744341995,74.03498190591074
WANGEMAROT,1004,4659,1990,2669,4.640438247011952,74.5597602098164
