VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
BAMTI BHANDAR,710,13,0,6,0,10
BETALI,933,6,0,1,0,12
BETHAN,1083,2,0,1,0,4
GAGAL BHADAURE,512,1,0,0,0,61
BHATAULI,797,0,0,7,0,16
BHIRPANI,752,5,0,1,1,5
BHUJEE,533,2,0,1,0,2
BIJULIKOT,1063,2,2,5,0,15
CHANAKHU,471,0,0,0,0,5
CHISAPANI,672,1,0,1,1,11
CHUCHURE,556,1,0,23,0,5
DADHUWA,985,1,0,11,0,19
DEURALI,698,1,0,0,0,3
DIMIPOKHARI,719,1,0,0,0,6
DORAMBA,771,3,0,6,0,14
DURAGAUN,630,0,0,1,0,21
FARPU,432,4,0,10,0,4
GELU,1244,3,2,0,0,18
GOSWARA,757,0,0,10,0,3
GOTHGAUN,562,0,0,1,1,2
GUMDEL,471,1,0,20,2,3
GUNSI BHADAURE,1047,0,0,0,0,9
GUPTESHWOR,352,0,0,9,0,0
HILEDEVI,699,1,1,3,0,3
HIMGANGA,843,0,0,1,0,5
KATHJOR,913,1,1,1,1,17
KHANDADEVI,827,2,0,3,0,6
KHANIYAPANI,785,1,0,2,0,6
KHIMTI,911,14,10,22,3,8
KUBUKASTHALI,592,0,0,6,1,7
LAKHANPUR,1313,3,0,2,0,5
MAJUWA,430,2,0,0,0,21
MAKADUM,419,2,0,0,0,1
BHALUWAJOR,700,0,0,1,2,12
MANTHALI,1449,288,242,18,2,19
NAGDAHA,763,0,0,6,0,8
NAMADI,810,2,0,7,2,6
OKHRENI,729,4,0,1,0,8
PAKARBAS,1165,0,0,1,1,10
PHULASI,1250,12,5,10,0,7
PINKHURI,426,1,0,0,0,1
PRITEE,1104,1,0,16,1,6
PURANAGAUN,631,0,0,0,0,4
RAKATHUM,696,1,0,8,0,11
RAMECHHAP,1084,38,17,7,0,7
RAMPUR,857,1,0,0,0,0
RASANALU,991,4,2,13,0,16
SAIPU,584,2,0,25,2,3
SALU,758,1,0,1,0,4
SANGHUTAR,483,0,2,9,0,6
SUKAJOR,733,1,2,13,2,5
SUNARPANI,497,0,0,1,0,2
THOSE,571,2,1,26,6,0
TILPUNG,817,1,0,3,0,7
TOKARPUR,747,2,0,2,1,15
TOTAL,42327,434,287,322,29,484
