VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
BAMTI BHANDAR,39,665,633,213,13,19,2,22,408,1,29,2,0,0,35
BETALI,146,784,599,138,22,3,1,15,543,1,2,0,1,1,22
BETHAN,170,907,815,140,5,15,1,34,556,0,5,1,1,0,13
GAGAL BHADAURE,199,375,322,6,0,0,0,1,290,0,0,0,0,0,0
BHATAULI,167,601,456,99,12,3,0,4,466,0,5,0,0,4,52
BHIRPANI,217,547,455,69,11,1,0,32,379,2,8,0,1,1,0
BHUJEE,173,365,343,25,6,0,0,19,181,0,0,0,0,0,0
BIJULIKOT,321,742,709,12,2,1,0,56,283,0,6,0,1,2,24
CHANAKHU,92,372,342,5,1,2,0,1,232,0,0,0,0,0,12
CHISAPANI,102,570,451,206,14,7,1,12,487,0,1,3,4,9,14
CHUCHURE,29,525,450,216,90,12,0,3,364,0,10,3,1,4,31
DADHUWA,349,629,542,18,1,0,0,2,368,1,7,1,0,0,38
DEURALI,200,484,442,26,0,3,0,26,249,1,0,0,0,0,18
DIMIPOKHARI,248,449,335,56,2,3,2,9,330,0,3,0,0,0,29
DORAMBA,80,589,514,45,3,6,0,13,358,26,46,3,0,0,125
DURAGAUN,60,527,517,2,2,0,0,2,221,0,0,1,0,0,65
FARPU,129,293,244,35,0,1,0,1,232,0,0,0,0,0,28
GELU,226,1004,901,41,1,3,1,9,779,0,3,3,0,0,37
GOSWARA,293,426,313,80,0,0,0,6,229,2,2,0,0,0,51
GOTHGAUN,135,417,395,10,0,2,0,14,172,0,8,0,0,0,14
GUMDEL,50,427,418,87,5,2,0,10,262,0,0,0,0,0,20
GUNSI BHADAURE,146,836,778,62,3,4,0,11,484,0,0,0,0,0,74
GUPTESHWOR,81,277,236,58,8,2,0,47,161,0,0,0,0,0,3
HILEDEVI,179,483,419,41,0,0,0,11,350,2,5,1,1,0,45
HIMGANGA,194,643,596,40,2,8,0,62,355,0,2,1,0,0,12
KATHJOR,203,665,598,15,0,1,0,41,374,0,1,3,0,0,66
KHANDADEVI,277,549,460,32,0,0,0,3,348,0,3,0,0,0,12
KHANIYAPANI,94,681,612,146,0,3,1,4,335,1,4,2,1,0,19
KHIMTI,170,777,599,124,35,6,0,22,611,0,15,6,0,17,21
KUBUKASTHALI,83,514,484,54,1,1,0,4,367,0,1,0,0,0,9
LAKHANPUR,331,978,829,191,6,1,0,7,570,1,2,0,2,0,14
MAJUWA,100,322,275,15,1,0,0,2,229,0,3,0,0,0,31
MAKADUM,69,348,320,4,0,0,0,1,219,0,1,0,0,0,5
BHALUWAJOR,139,567,485,91,1,3,0,5,407,1,8,1,0,2,9
MANTHALI,117,1821,1105,857,747,243,87,309,1629,6,138,19,9,110,80
NAGDAHA,169,595,560,15,1,2,0,4,450,1,6,1,0,0,13
NAMADI,110,679,590,49,3,2,0,0,556,0,0,0,0,1,38
OKHRENI,79,655,625,139,3,6,1,32,433,0,5,0,1,0,8
PAKARBAS,114,1025,896,252,0,7,0,19,715,0,9,2,0,0,38
PHULASI,350,880,731,65,2,0,0,7,551,0,4,2,0,11,54
PINKHURI,14,327,277,15,0,0,0,1,242,0,0,0,0,0,87
PRITEE,205,867,765,109,3,4,2,46,567,0,2,0,0,0,56
PURANAGAUN,113,497,449,32,0,1,0,3,330,0,0,1,0,0,25
RAKATHUM,63,580,560,74,1,0,0,4,155,0,0,0,0,0,73
RAMECHHAP,138,1004,945,394,111,13,3,35,675,2,27,2,0,8,11
RAMPUR,305,551,504,32,0,1,0,10,286,0,1,1,0,0,2
RASANALU,125,833,677,266,84,9,5,7,609,0,4,2,0,0,68
SAIPU,150,462,441,14,1,5,0,18,233,0,0,1,0,0,4
SALU,94,659,591,237,4,0,0,8,467,2,9,0,0,0,11
SANGHUTAR,70,415,320,70,87,1,0,50,259,0,7,2,2,20,15
SUKAJOR,140,561,514,247,0,5,0,6,264,0,5,0,0,0,55
SUNARPANI,115,382,357,97,0,1,0,2,187,0,1,0,1,0,3
THOSE,58,465,358,148,45,11,3,7,270,1,9,0,2,3,83
TILPUNG,120,702,636,16,0,2,1,2,621,0,1,0,0,0,6
TOKARPUR,314,438,327,43,1,2,0,5,308,0,2,1,0,1,15
