VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
BAMTI BHANDAR,624,77,3,35
BETALI,930,8,0,14
BETHAN,1074,14,0,2
GAGAL BHADAURE,573,0,1,0
BHATAULI,789,25,0,6
BHIRPANI,742,13,4,5
BHUJEE,522,9,2,5
BIJULIKOT,1061,22,1,3
CHANAKHU,473,0,0,3
CHISAPANI,676,4,1,5
CHUCHURE,535,39,2,9
DADHUWA,1005,9,0,2
DEURALI,693,6,1,2
DIMIPOKHARI,720,3,0,3
DORAMBA,780,10,2,2
DURAGAUN,646,4,0,2
FARPU,446,2,0,2
GELU,1251,9,2,5
GOSWARA,759,3,8,0
GOTHGAUN,564,2,0,0
GUMDEL,441,18,0,38
GUNSI BHADAURE,1046,5,0,5
GUPTESHWOR,350,10,0,1
HILEDEVI,693,11,1,2
HIMGANGA,837,7,0,5
KATHJOR,930,4,0,0
KHANDADEVI,827,10,1,0
KHANIYAPANI,789,5,0,0
KHIMTI,900,55,2,11
KUBUKASTHALI,584,5,0,17
LAKHANPUR,1309,12,0,2
MAJUWA,451,2,0,0
MAKADUM,413,6,0,3
BHALUWAJOR,709,4,0,2
MANTHALI,1055,921,34,8
NAGDAHA,768,6,0,3
NAMADI,804,17,0,6
OKHRENI,732,8,0,2
PAKARBAS,1161,11,1,4
PHULASI,1253,29,0,2
PINKHURI,421,5,0,2
PRITEE,1095,23,0,10
PURANAGAUN,632,3,0,0
RAKATHUM,689,27,0,0
RAMECHHAP,996,130,24,3
RAMPUR,850,6,0,2
RASANALU,994,23,3,6
SAIPU,588,24,0,4
SALU,752,4,0,8
SANGHUTAR,450,48,0,2
SUKAJOR,738,14,0,4
SUNARPANI,498,1,0,1
THOSE,554,46,4,2
TILPUNG,817,11,0,0
TOKARPUR,746,3,1,17
TOTAL,41735,1773,98,277
