VDC/MUNICIPALITY,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO
TOTAL,9778,43300,21475,21825,4.428308447535283,98.3963344788087
BHORLE,1184,5570,2683,2887,4.704391891891892,92.93384135781088
BRIDHIM,161,422,212,210,2.62111801242236,100.95238095238095
CHILIME,340,1378,685,693,4.052941176470588,98.84559884559884
DANDAGOUN,479,2186,1033,1153,4.5636743215031315,89.59236773633998
DHUNCHE,714,2744,1475,1269,3.843137254901961,116.23325453112687
GATLANG,400,1805,888,917,4.5125,96.83751363140675
GOLJUNG,269,972,471,501,3.613382899628253,94.01197604790418
HAKU,443,2169,1049,1120,4.8961625282167045,93.66071428571429
DHAIBUNG,1109,4928,2368,2560,4.443642921550947,92.5
LAHAREPOUWA,1053,4522,2068,2454,4.294396961063628,84.27057864710676
LANGTANG,152,415,192,223,2.7302631578947367,86.09865470852019
RAMCHE,489,2268,1092,1176,4.638036809815951,92.85714285714286
SARAMTHALI,821,3992,1855,2137,4.862362971985384,86.80393074403369
SYAFRU,621,2271,1172,1099,3.657004830917874,106.64240218380345
THULOGOUN,317,1356,636,720,4.277602523659306,88.33333333333333
THUMAN,239,868,433,435,3.6317991631799162,99.54022988505747
TIMURE,130,423,213,210,3.253846153846154,101.42857142857142
YARSA,820,3844,1973,1871,4.68780487804878,105.45163014430786
